sep=,
Airport,BIKF
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,32
2016-01-05,33
2016-01-06,34
2016-01-07,34
2016-01-08,35
2016-01-09,35
2016-01-10,36
2016-01-11,36
2016-01-12,37
2016-01-13,37
2016-01-14,38
2016-01-15,38
2016-01-16,39
2016-01-17,39
2016-01-18,40
2016-01-19,40
2016-01-20,41
2016-01-21,41
2016-01-22,42
2016-01-23,42
2016-01-24,43
2016-01-25,43
2016-01-26,44
2016-01-27,44
2016-02-01,44
2016-02-02,45
2016-02-03,45
2016-02-04,46
2016-02-05,46
2016-02-06,47
2016-02-07,47
2016-02-08,47
2016-02-09,48
2016-02-10,48
2016-02-11,49
2016-02-12,49
2016-02-13,49
2016-02-14,50
2016-02-15,50
2016-02-16,51
2016-02-17,51
2016-02-18,51
2016-02-19,52
2016-02-20,52
2016-02-21,53
2016-02-22,53
2016-02-23,53
2016-02-24,54
2016-02-25,54
2016-02-26,55
2016-02-27,55
2016-03-01,55
2016-03-02,56
2016-03-03,56
2016-03-04,56
2016-03-05,57
2016-03-06,57
2016-03-07,58
2016-03-08,58
2016-03-09,58
2016-03-10,59
2016-03-11,59
2016-03-12,59
2016-03-13,60
2016-03-14,60
2016-03-15,61
2016-03-16,61
2016-03-17,61
2016-03-18,62
2016-03-19,62
2016-03-20,62
2016-03-21,63
2016-03-22,63
2016-03-23,63
2016-03-24,64
2016-03-25,64
2016-03-26,64
2016-03-27,65
2016-04-01,65
2016-04-02,65
2016-04-03,66
2016-04-04,66
2016-04-05,67
2016-04-06,67
2016-04-07,67
2016-04-08,68
2016-04-09,68
2016-04-10,68
2016-04-11,69
2016-04-12,69
2016-04-13,69
2016-04-14,70
2016-04-15,70
2016-04-16,70
2016-04-17,71
2016-04-18,71
2016-04-19,71
2016-04-20,72
2016-04-21,72
2016-04-22,72
2016-04-23,73
2016-04-24,73
2016-04-25,73
2016-04-26,74
2016-04-27,74
2016-05-01,74
2016-05-02,75
2016-05-03,75
2016-05-04,75
2016-05-05,76
2016-05-06,76
2016-05-07,76
2016-05-08,77
2016-05-09,77
2016-05-10,77
2016-05-11,78
2016-05-12,78
2016-05-13,78
2016-05-14,79
2016-05-15,79
2016-05-16,79
2016-05-17,80
2016-05-18,80
2016-05-19,80
2016-05-20,81
2016-05-21,81
2016-05-22,81
2016-05-23,82
2016-05-24,82
2016-05-25,82
2016-05-26,83
2016-05-27,83
2016-06-01,83
2016-06-02,83
2016-06-03,84
2016-06-04,84
2016-06-05,84
2016-06-06,85
2016-06-07,85
2016-06-08,85
2016-06-09,86
2016-06-10,86
2016-06-11,86
2016-06-12,87
2016-06-13,87
2016-06-14,87
2016-06-15,88
2016-06-16,88
2016-06-17,88
2016-06-18,89
2016-06-19,89
2016-06-20,89
2016-06-21,89
2016-06-22,90
2016-06-23,90
2016-06-24,90
2016-06-25,91
2016-06-26,91
2016-06-27,91
2016-07-01,92
2016-07-02,92
2016-07-03,92
2016-07-04,93
2016-07-05,93
2016-07-06,93
2016-07-07,93
2016-07-08,94
2016-07-09,94
2016-07-10,94
2016-07-11,95
2016-07-12,95
2016-07-13,95
2016-07-14,96
2016-07-15,96
2016-07-16,96
2016-07-17,97
2016-07-18,97
2016-07-19,97
2016-07-20,97
2016-07-21,98
2016-07-22,98
2016-07-23,98
2016-07-24,99
2016-07-25,99
2016-07-26,99
2016-07-27,100
2016-08-01,100
2016-08-02,100
2016-08-03,100
2016-08-04,101
2016-08-05,101
2016-08-06,101
2016-08-07,102
2016-08-08,102
2016-08-09,102
2016-08-10,102
2016-08-11,103
2016-08-12,103
2016-08-13,103
2016-08-14,104
2016-08-15,104
2016-08-16,104
2016-08-17,105
2016-08-18,105
2016-08-19,105
2016-08-20,105
2016-08-21,106
2016-08-22,106
2016-08-23,106
2016-08-24,107
2016-08-25,107
2016-08-26,107
2016-08-27,107
2016-09-01,108
2016-09-02,108
2016-09-03,108
2016-09-04,109
2016-09-05,109
2016-09-06,109
2016-09-07,110
2016-09-08,110
2016-09-09,110
2016-09-10,110
2016-09-11,111
2016-09-12,111
2016-09-13,111
2016-09-14,112
2016-09-15,112
2016-09-16,112
2016-09-17,112
2016-09-18,113
2016-09-19,113
2016-09-20,113
2016-09-21,114
2016-09-22,114
2016-09-23,114
2016-09-24,114
2016-09-25,115
2016-09-26,115
2016-09-27,115
2016-10-01,116
2016-10-02,116
2016-10-03,116
2016-10-04,239
2016-10-05,239
2016-10-06,240
