sep=,
Airport,EDDI
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,33
2016-01-05,34
2016-01-06,35
2016-01-07,36
2016-01-08,37
2016-01-09,38
2016-01-10,39
2016-01-11,40
2016-01-12,41
2016-01-13,42
2016-01-14,43
2016-01-15,44
2016-01-16,45
2016-01-17,46
2016-01-18,47
2016-01-19,48
2016-01-20,49
2016-01-21,50
2016-01-22,51
2016-01-23,52
2016-01-24,53
2016-01-25,54
2016-01-26,55
2016-01-27,56
2016-02-01,57
2016-02-02,58
2016-02-03,59
2016-02-04,60
2016-02-05,61
2016-02-06,62
2016-02-07,63
2016-02-08,64
2016-02-09,65
2016-02-10,66
2016-02-11,67
2016-02-12,68
2016-02-13,69
2016-02-14,70
2016-02-15,71
2016-02-16,72
2016-02-17,73
2016-02-18,74
2016-02-19,75
2016-02-20,76
2016-02-21,77
2016-02-22,78
2016-02-23,79
2016-02-24,80
2016-02-25,81
2016-02-26,82
2016-02-27,83
2016-03-01,84
2016-03-02,85
2016-03-03,86
2016-03-04,87
2016-03-05,88
2016-03-06,89
2016-03-07,90
2016-03-08,91
2016-03-09,92
2016-03-10,93
2016-03-11,94
2016-03-12,95
2016-03-13,96
2016-03-14,97
2016-03-15,98
2016-03-16,99
2016-03-17,100
2016-03-18,101
2016-03-19,102
2016-03-20,103
2016-03-21,104
2016-03-22,105
2016-03-23,106
2016-03-24,107
2016-03-25,108
2016-03-26,109
2016-03-27,110
2016-04-01,111
2016-04-02,112
2016-04-03,113
2016-04-04,114
2016-04-05,115
2016-04-06,116
2016-04-07,117
2016-04-08,118
2016-04-09,119
2016-04-10,120
2016-04-11,121
2016-04-12,122
2016-04-13,123
2016-04-14,124
2016-04-15,125
2016-04-16,126
2016-04-17,127
2016-04-18,128
2016-04-19,129
2016-04-20,130
2016-04-21,131
2016-04-22,132
2016-04-23,133
2016-04-24,134
2016-04-25,135
2016-04-26,136
2016-04-27,137
2016-05-01,138
2016-05-02,139
2016-05-03,140
2016-05-04,141
2016-05-05,142
2016-05-06,143
2016-05-07,144
2016-05-08,145
2016-05-09,146
2016-05-10,147
2016-05-11,148
2016-05-12,149
2016-05-13,150
2016-05-14,151
2016-05-15,152
2016-05-16,153
2016-05-17,154
2016-05-18,155
2016-05-19,156
2016-05-20,157
2016-05-21,158
2016-05-22,159
2016-05-23,160
2016-05-24,161
2016-05-25,162
2016-05-26,163
2016-05-27,164
2016-06-01,165
2016-06-02,166
2016-06-03,167
2016-06-04,168
2016-06-05,169
2016-06-06,170
2016-06-07,171
2016-06-08,172
2016-06-09,173
2016-06-10,174
2016-06-11,175
2016-06-12,176
2016-06-13,177
2016-06-14,178
2016-06-15,179
2016-06-16,180
2016-06-17,181
2016-06-18,182
2016-06-19,183
2016-06-20,184
2016-06-21,185
2016-06-22,186
2016-06-23,187
2016-06-24,188
2016-06-25,189
2016-06-26,190
2016-06-27,191
2016-07-01,192
2016-07-02,193
2016-07-03,194
2016-07-04,195
2016-07-05,196
2016-07-06,197
2016-07-07,198
2016-07-08,199
2016-07-09,200
2016-07-10,201
2016-07-11,202
2016-07-12,203
2016-07-13,204
2016-07-14,205
2016-07-15,206
2016-07-16,207
2016-07-17,208
2016-07-18,209
2016-07-19,210
2016-07-20,211
2016-07-21,212
2016-07-22,213
2016-07-23,214
2016-07-24,215
2016-07-25,216
2016-07-26,217
2016-07-27,218
2016-08-01,219
2016-08-02,220
2016-08-03,221
2016-08-04,222
2016-08-05,223
2016-08-06,224
2016-08-07,225
2016-08-08,226
2016-08-09,227
2016-08-10,228
2016-08-11,229
2016-08-12,230
2016-08-13,231
2016-08-14,232
2016-08-15,233
2016-08-16,234
2016-08-17,235
2016-08-18,236
2016-08-19,237
2016-08-20,238
2016-08-21,239
2016-08-22,240
2016-08-23,241
2016-08-24,242
2016-08-25,243
2016-08-26,244
2016-08-27,245
2016-09-01,246
2016-09-02,247
2016-09-03,248
2016-09-04,249
2016-09-05,250
2016-09-06,251
2016-09-07,252
2016-09-08,253
2016-09-09,254
2016-09-10,255
2016-09-11,256
2016-09-12,257
2016-09-13,258
2016-09-14,259
2016-09-15,260
2016-09-16,261
2016-09-17,262
2016-09-18,263
2016-09-19,264
2016-09-20,265
2016-09-21,266
2016-09-22,267
2016-09-23,268
2016-09-24,269
2016-09-25,270
2016-09-26,271
2016-09-27,272
2016-10-01,273
2016-10-02,274
2016-10-03,275
2016-10-04,80
2016-10-05,80
2016-10-06,80
