sep=,
Airport,EFHK
Date,Count
2016-01-02,50
2016-01-03,51
2016-01-04,51
2016-01-05,51
2016-01-06,52
2016-01-07,52
2016-01-08,52
2016-01-09,52
2016-01-10,53
2016-01-11,53
2016-01-12,53
2016-01-13,54
2016-01-14,54
2016-01-15,54
2016-01-16,55
2016-01-17,55
2016-01-18,55
2016-01-19,55
2016-01-20,56
2016-01-21,56
2016-01-22,57
2016-01-23,57
2016-01-24,57
2016-01-25,57
2016-01-26,58
2016-02-01,58
2016-02-02,58
2016-02-03,59
2016-02-04,59
2016-02-05,59
2016-02-06,59
2016-02-07,60
2016-02-08,60
2016-02-09,60
2016-02-10,61
2016-02-11,61
2016-02-12,62
2016-02-13,62
2016-02-14,62
2016-02-15,62
2016-02-16,63
2016-02-17,63
2016-02-18,63
2016-02-19,63
2016-02-20,64
2016-02-21,64
2016-02-22,64
2016-02-23,65
2016-02-24,65
2016-02-25,65
2016-02-26,65
2016-03-01,66
2016-03-02,66
2016-03-03,66
2016-03-04,67
2016-03-05,67
2016-03-06,68
2016-03-07,67
2016-03-08,68
2016-03-09,68
2016-03-10,68
2016-03-11,69
2016-03-12,69
2016-03-13,69
2016-03-14,70
2016-03-15,70
2016-03-16,70
2016-03-17,70
2016-03-18,71
2016-03-19,72
2016-03-20,72
2016-03-21,72
2016-03-22,72
2016-03-23,73
2016-03-24,73
2016-03-25,73
2016-03-26,74
2016-04-01,74
2016-04-02,74
2016-04-03,75
2016-04-04,75
2016-04-05,75
2016-04-06,76
2016-04-07,76
2016-04-08,76
2016-04-09,76
2016-04-10,77
2016-04-11,77
2016-04-12,77
2016-04-13,77
2016-04-14,78
2016-04-15,78
2016-04-16,79
2016-04-17,79
2016-04-18,80
2016-04-19,79
2016-04-20,80
2016-04-21,80
2016-04-22,80
2016-04-23,80
2016-04-24,81
2016-04-25,82
2016-04-26,82
2016-05-01,82
2016-05-02,82
2016-05-03,83
2016-05-04,83
2016-05-05,83
2016-05-06,83
2016-05-07,83
2016-05-08,84
2016-05-09,84
2016-05-10,85
2016-05-11,85
2016-05-12,85
2016-05-13,85
2016-05-14,86
2016-05-15,86
2016-05-16,87
2016-05-17,87
2016-05-18,88
2016-05-19,88
2016-05-20,88
2016-05-21,89
2016-05-22,88
2016-05-23,89
2016-05-24,89
2016-05-25,89
2016-05-26,89
2016-06-01,89
2016-06-02,90
2016-06-03,90
2016-06-04,90
2016-06-05,90
2016-06-06,90
2016-06-07,91
2016-06-08,93
2016-06-09,93
2016-06-10,93
2016-06-11,94
2016-06-12,92
2016-06-13,93
2016-06-14,95
2016-06-15,95
2016-06-16,95
2016-06-17,95
2016-06-18,96
2016-06-19,95
2016-06-20,96
2016-06-21,96
2016-06-22,96
2016-06-23,96
2016-06-24,96
2016-06-25,97
2016-06-26,97
2016-07-01,97
2016-07-02,98
2016-07-03,99
2016-07-04,98
2016-07-05,100
2016-07-06,99
2016-07-07,99
2016-07-08,100
2016-07-09,100
2016-07-10,100
2016-07-11,100
2016-07-12,101
2016-07-13,101
2016-07-14,101
2016-07-15,102
2016-07-16,102
2016-07-17,102
2016-07-18,103
2016-07-19,102
2016-07-20,103
2016-07-21,103
2016-07-22,103
2016-07-23,103
2016-07-24,104
2016-07-25,105
2016-07-26,105
2016-08-01,105
2016-08-02,106
2016-08-03,107
2016-08-04,107
2016-08-05,107
2016-08-06,108
2016-08-07,109
2016-08-08,108
2016-08-09,109
2016-08-10,109
2016-08-11,109
2016-08-12,109
2016-08-13,110
2016-08-14,109
2016-08-15,110
2016-08-16,110
2016-08-17,110
2016-08-18,110
2016-08-19,111
2016-08-20,110
2016-08-21,111
2016-08-22,111
2016-08-23,111
2016-08-24,112
2016-08-25,113
2016-08-26,114
2016-09-01,112
2016-09-02,113
2016-09-03,115
2016-09-04,113
2016-09-05,114
2016-09-06,116
2016-09-07,115
2016-09-08,114
2016-09-09,117
2016-09-10,116
2016-09-11,116
2016-09-12,117
2016-09-13,118
2016-09-14,117
2016-09-15,119
2016-09-16,118
2016-09-17,118
2016-09-18,118
2016-09-19,119
2016-09-20,119
2016-09-21,119
2016-09-22,120
2016-09-23,120
2016-09-24,120
2016-09-25,120
2016-09-26,121
2016-10-01,121
2016-10-02,121
2016-10-03,122
2016-10-04,124
2016-10-05,122
2016-10-06,124
2016-10-07,123
2016-10-08,123
2016-10-09,124
2016-10-10,124
2016-10-11,124
2016-10-12,124
2016-10-13,125
2016-10-14,124
2016-10-15,125
2016-10-16,125
2016-10-17,125
2016-10-18,125
2016-10-19,126
2016-10-20,128
2016-10-21,126
2016-10-22,128
2016-10-23,127
2016-10-24,127
2016-10-25,127
2016-10-26,129
2016-11-01,130
2016-11-02,131
2016-11-03,129
2016-11-04,131
2016-11-05,129
2016-11-06,131
2016-11-07,130
2016-11-08,133
2016-11-09,130
2016-11-10,134
2016-11-11,134
2016-11-12,134
2016-11-13,135
2016-11-14,134
2016-11-15,135
2016-11-16,135
2016-11-17,135
2016-11-18,135
2016-11-19,135
2016-11-20,136
2016-11-21,136
2016-11-22,136
2016-11-23,137
2016-11-24,138
2016-11-25,137
2016-11-26,139
2016-12-01,137
2016-12-02,139
2016-12-03,137
2016-12-04,140
2016-12-05,137
2016-12-06,137
2016-12-07,138
2016-12-08,139
2016-12-09,138
2016-12-10,140
2016-12-11,139
2016-12-12,139
2016-12-13,139
2016-12-14,140
2016-12-15,140
