sep=,
Airport,EGLL
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,32
2016-01-05,33
2016-01-06,33
2016-01-07,34
2016-01-08,34
2016-01-09,34
2016-01-10,35
2016-01-11,35
2016-01-12,35
2016-01-13,36
2016-01-14,36
2016-01-15,37
2016-01-16,37
2016-01-17,37
2016-01-18,37
2016-01-19,38
2016-01-20,38
2016-01-21,38
2016-01-22,39
2016-01-23,39
2016-01-24,39
2016-01-25,40
2016-01-26,40
2016-01-27,40
2016-02-01,40
2016-02-02,41
2016-02-03,41
2016-02-04,41
2016-02-05,41
2016-02-06,42
2016-02-07,42
2016-02-08,42
2016-02-09,42
2016-02-10,43
2016-02-11,43
2016-02-12,43
2016-02-13,43
2016-02-14,44
2016-02-15,44
2016-02-16,44
2016-02-17,44
2016-02-18,45
2016-02-19,45
2016-02-20,45
2016-02-21,45
2016-02-22,46
2016-02-23,46
2016-02-24,46
2016-02-25,46
2016-02-26,47
2016-02-27,47
2016-03-01,47
2016-03-02,47
2016-03-03,47
2016-03-04,48
2016-03-05,48
2016-03-06,48
2016-03-07,48
2016-03-08,49
2016-03-09,49
2016-03-10,49
2016-03-11,49
2016-03-12,49
2016-03-13,50
2016-03-14,50
2016-03-15,50
2016-03-16,50
2016-03-17,50
2016-03-18,51
2016-03-19,51
2016-03-20,51
2016-03-21,51
2016-03-22,51
2016-03-23,52
2016-03-24,52
2016-03-25,52
2016-03-26,52
2016-03-27,52
2016-04-01,53
2016-04-02,53
2016-04-03,53
2016-04-04,53
2016-04-05,53
2016-04-06,54
2016-04-07,54
2016-04-08,54
2016-04-09,54
2016-04-10,54
2016-04-11,55
2016-04-12,55
2016-04-13,55
2016-04-14,55
2016-04-15,55
2016-04-16,56
2016-04-17,56
2016-04-18,56
2016-04-19,56
2016-04-20,56
2016-04-21,56
2016-04-22,57
2016-04-23,57
2016-04-24,57
2016-04-25,57
2016-04-26,57
2016-04-27,58
2016-05-01,58
2016-05-02,58
2016-05-03,58
2016-05-04,58
2016-05-05,59
2016-05-06,59
2016-05-07,59
2016-05-08,59
2016-05-09,59
2016-05-10,59
2016-05-11,60
2016-05-12,60
2016-05-13,60
2016-05-14,60
2016-05-15,60
2016-05-16,60
2016-05-17,61
2016-05-18,61
2016-05-19,61
2016-05-20,61
2016-05-21,61
2016-05-22,62
2016-05-23,62
2016-05-24,62
2016-05-25,62
2016-05-26,62
2016-05-27,62
2016-06-01,63
2016-06-02,63
2016-06-03,63
2016-06-04,63
2016-06-05,63
2016-06-06,63
2016-06-07,64
2016-06-08,64
2016-06-09,64
2016-06-10,64
2016-06-11,64
2016-06-12,64
2016-06-13,65
2016-06-14,65
2016-06-15,65
2016-06-16,65
2016-06-17,65
2016-06-18,65
2016-06-19,66
2016-06-20,66
2016-06-21,66
2016-06-22,66
2016-06-23,66
2016-06-24,66
2016-06-25,67
2016-06-26,67
2016-06-27,67
2016-07-01,67
2016-07-02,67
2016-07-03,67
2016-07-04,68
2016-07-05,68
2016-07-06,68
2016-07-07,68
2016-07-08,68
2016-07-09,68
2016-07-10,68
2016-07-11,69
2016-07-12,69
2016-07-13,69
2016-07-14,69
2016-07-15,69
2016-07-16,69
2016-07-17,70
2016-07-18,70
2016-07-19,70
2016-07-20,70
2016-07-21,70
2016-07-22,70
2016-07-23,71
2016-07-24,71
2016-07-25,71
2016-07-26,71
2016-07-27,71
2016-08-01,71
2016-08-02,71
2016-08-03,72
2016-08-04,72
2016-08-05,72
2016-08-06,72
2016-08-07,72
2016-08-08,72
2016-08-09,73
2016-08-10,73
2016-08-11,73
2016-08-12,73
2016-08-13,73
2016-08-14,73
2016-08-15,73
2016-08-16,74
2016-08-17,74
2016-08-18,74
2016-08-19,74
2016-08-20,74
2016-08-21,74
2016-08-22,75
2016-08-23,75
2016-08-24,75
2016-08-25,75
2016-08-26,75
2016-08-27,75
2016-09-01,75
2016-09-02,76
2016-09-03,76
2016-09-04,76
2016-09-05,76
2016-09-06,76
2016-09-07,76
2016-09-08,76
2016-09-09,77
2016-09-10,77
2016-09-11,77
2016-09-12,77
2016-09-13,77
2016-09-14,77
2016-09-15,78
2016-09-16,78
2016-09-17,78
2016-09-18,78
2016-09-19,78
2016-09-20,78
2016-09-21,78
2016-09-22,79
2016-09-23,79
2016-09-24,79
2016-09-25,79
2016-09-26,79
2016-09-27,79
2016-10-01,79
2016-10-02,80
2016-10-03,80
2016-10-04,83
2016-10-05,83
2016-10-06,83
