sep=,
Airport,EIDW
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,33
2016-01-05,33
2016-01-06,34
2016-01-07,35
2016-01-08,36
2016-01-09,36
2016-01-10,37
2016-01-11,38
2016-01-12,38
2016-01-13,39
2016-01-14,40
2016-01-15,40
2016-01-16,41
2016-01-17,42
2016-01-18,42
2016-01-19,43
2016-01-20,44
2016-01-21,44
2016-01-22,45
2016-01-23,46
2016-01-24,46
2016-01-25,47
2016-01-26,48
2016-01-27,48
2016-02-01,49
2016-02-02,49
2016-02-03,50
2016-02-04,51
2016-02-05,51
2016-02-06,52
2016-02-07,52
2016-02-08,53
2016-02-09,54
2016-02-10,54
2016-02-11,55
2016-02-12,55
2016-02-13,56
2016-02-14,57
2016-02-15,57
2016-02-16,58
2016-02-17,58
2016-02-18,59
2016-02-19,60
2016-02-20,60
2016-02-21,61
2016-02-22,61
2016-02-23,62
2016-02-24,63
2016-02-25,63
2016-02-26,64
2016-02-27,64
2016-03-01,65
2016-03-02,65
2016-03-03,66
2016-03-04,67
2016-03-05,67
2016-03-06,68
2016-03-07,68
2016-03-08,69
2016-03-09,69
2016-03-10,70
2016-03-11,71
2016-03-12,71
2016-03-13,72
2016-03-14,72
2016-03-15,73
2016-03-16,73
2016-03-17,74
2016-03-18,74
2016-03-19,75
2016-03-20,76
2016-03-21,76
2016-03-22,77
2016-03-23,77
2016-03-24,78
2016-03-25,78
2016-03-26,79
2016-03-27,79
2016-04-01,80
2016-04-02,81
2016-04-03,81
2016-04-04,82
2016-04-05,82
2016-04-06,83
2016-04-07,83
2016-04-08,84
2016-04-09,84
2016-04-10,85
2016-04-11,85
2016-04-12,86
2016-04-13,86
2016-04-14,87
2016-04-15,88
2016-04-16,88
2016-04-17,89
2016-04-18,89
2016-04-19,90
2016-04-20,90
2016-04-21,91
2016-04-22,91
2016-04-23,92
2016-04-24,92
2016-04-25,93
2016-04-26,93
2016-04-27,94
2016-05-01,95
2016-05-02,95
2016-05-03,96
2016-05-04,96
2016-05-05,97
2016-05-06,97
2016-05-07,98
2016-05-08,98
2016-05-09,99
2016-05-10,99
2016-05-11,100
2016-05-12,100
2016-05-13,101
2016-05-14,101
2016-05-15,102
2016-05-16,102
2016-05-17,103
2016-05-18,103
2016-05-19,104
2016-05-20,105
2016-05-21,105
2016-05-22,106
2016-05-23,106
2016-05-24,107
2016-05-25,107
2016-05-26,108
2016-05-27,108
2016-06-01,109
2016-06-02,109
2016-06-03,110
2016-06-04,110
2016-06-05,111
2016-06-06,111
2016-06-07,112
2016-06-08,112
2016-06-09,113
2016-06-10,113
2016-06-11,114
2016-06-12,114
2016-06-13,115
2016-06-14,115
2016-06-15,116
2016-06-16,116
2016-06-17,117
2016-06-18,117
2016-06-19,118
2016-06-20,118
2016-06-21,119
2016-06-22,120
2016-06-23,120
2016-06-24,121
2016-06-25,121
2016-06-26,122
2016-06-27,122
2016-07-01,123
2016-07-02,123
2016-07-03,124
2016-07-04,124
2016-07-05,125
2016-07-06,125
2016-07-07,126
2016-07-08,126
2016-07-09,127
2016-07-10,127
2016-07-11,128
2016-07-12,128
2016-07-13,129
2016-07-14,129
2016-07-15,130
2016-07-16,130
2016-07-17,131
2016-07-18,131
2016-07-19,132
2016-07-20,132
2016-07-21,133
2016-07-22,133
2016-07-23,134
2016-07-24,134
2016-07-25,135
2016-07-26,135
2016-07-27,136
2016-08-01,136
2016-08-02,137
2016-08-03,137
2016-08-04,138
2016-08-05,138
2016-08-06,139
2016-08-07,139
2016-08-08,140
2016-08-09,140
2016-08-10,141
2016-08-11,141
2016-08-12,142
2016-08-13,142
2016-08-14,143
2016-08-15,143
2016-08-16,144
2016-08-17,144
2016-08-18,145
2016-08-19,145
2016-08-20,146
2016-08-21,146
2016-08-22,147
2016-08-23,147
2016-08-24,148
2016-08-25,148
2016-08-26,149
2016-08-27,149
2016-09-01,150
2016-09-02,150
2016-09-03,151
2016-09-04,151
2016-09-05,152
2016-09-06,152
2016-09-07,153
2016-09-08,153
2016-09-09,154
2016-09-10,154
2016-09-11,154
2016-09-12,155
2016-09-13,155
2016-09-14,156
2016-09-15,156
2016-09-16,157
2016-09-17,157
2016-09-18,158
2016-09-19,158
2016-09-20,159
2016-09-21,159
2016-09-22,160
2016-09-23,160
2016-09-24,161
2016-09-25,161
2016-09-26,162
2016-09-27,162
2016-10-01,163
2016-10-02,163
2016-10-03,164
2016-10-04,207
2016-10-05,207
2016-10-06,208
