sep=,
Airport,EKCH
Date,Count
2016-01-02,50
2016-01-03,51
2016-01-04,51
2016-01-05,51
2016-01-06,52
2016-01-07,52
2016-01-08,52
2016-01-09,52
2016-01-10,53
2016-01-11,53
2016-01-12,53
2016-01-13,54
2016-01-14,54
2016-01-15,54
2016-01-16,55
2016-01-17,55
2016-01-18,55
2016-01-19,56
2016-01-20,56
2016-01-21,56
2016-01-22,56
2016-01-23,57
2016-01-24,57
2016-01-25,57
2016-01-26,58
2016-02-01,58
2016-02-02,58
2016-02-03,59
2016-02-04,59
2016-02-05,59
2016-02-06,59
2016-02-07,60
2016-02-08,60
2016-02-09,61
2016-02-10,61
2016-02-11,61
2016-02-12,62
2016-02-13,62
2016-02-14,62
2016-02-15,62
2016-02-16,63
2016-02-17,63
2016-02-18,63
2016-02-19,63
2016-02-20,64
2016-02-21,64
2016-02-22,65
2016-02-23,65
2016-02-24,65
2016-02-25,65
2016-02-26,65
2016-03-01,66
2016-03-02,66
2016-03-03,66
2016-03-04,67
2016-03-05,67
2016-03-06,68
2016-03-07,67
2016-03-08,68
2016-03-09,68
2016-03-10,68
2016-03-11,69
2016-03-12,70
2016-03-13,69
2016-03-14,70
2016-03-15,70
2016-03-16,70
2016-03-17,70
2016-03-18,71
2016-03-19,71
2016-03-20,72
2016-03-21,72
2016-03-22,72
2016-03-23,72
2016-03-24,72
2016-03-25,73
2016-03-26,73
2016-04-01,73
2016-04-02,74
2016-04-03,74
2016-04-04,74
2016-04-05,75
2016-04-06,76
2016-04-07,76
2016-04-08,76
2016-04-09,76
2016-04-10,76
2016-04-11,77
2016-04-12,77
2016-04-13,77
2016-04-14,77
2016-04-15,78
2016-04-16,78
2016-04-17,79
2016-04-18,80
2016-04-19,80
2016-04-20,80
2016-04-21,80
2016-04-22,80
2016-04-23,81
2016-04-24,80
2016-04-25,81
2016-04-26,81
2016-05-01,81
2016-05-02,82
2016-05-03,82
2016-05-04,82
2016-05-05,82
2016-05-06,83
2016-05-07,83
2016-05-08,83
2016-05-09,84
2016-05-10,85
2016-05-11,84
2016-05-12,86
2016-05-13,85
2016-05-14,85
2016-05-15,85
2016-05-16,86
2016-05-17,86
2016-05-18,86
2016-05-19,87
2016-05-20,87
2016-05-21,87
2016-05-22,88
2016-05-23,88
2016-05-24,88
2016-05-25,88
2016-05-26,89
2016-06-01,90
2016-06-02,90
2016-06-03,91
2016-06-04,91
2016-06-05,91
2016-06-06,92
2016-06-07,92
2016-06-08,93
2016-06-09,92
2016-06-10,93
2016-06-11,93
2016-06-12,93
2016-06-13,94
2016-06-14,94
2016-06-15,94
2016-06-16,95
2016-06-17,95
2016-06-18,96
2016-06-19,96
2016-06-20,96
2016-06-21,97
2016-06-22,96
2016-06-23,96
2016-06-24,96
2016-06-25,97
2016-06-26,97
2016-07-01,97
2016-07-02,98
2016-07-03,99
2016-07-04,99
2016-07-05,99
2016-07-06,100
2016-07-07,100
2016-07-08,100
2016-07-09,100
2016-07-10,101
2016-07-11,100
2016-07-12,101
2016-07-13,101
2016-07-14,101
2016-07-15,102
2016-07-16,103
2016-07-17,104
2016-07-18,104
2016-07-19,104
2016-07-20,104
2016-07-21,105
2016-07-22,104
2016-07-23,105
2016-07-24,104
2016-07-25,106
2016-07-26,106
2016-08-01,107
2016-08-02,106
2016-08-03,107
2016-08-04,107
2016-08-05,107
2016-08-06,108
2016-08-07,108
2016-08-08,108
2016-08-09,108
2016-08-10,109
2016-08-11,108
2016-08-12,109
2016-08-13,109
2016-08-14,109
2016-08-15,110
2016-08-16,109
2016-08-17,110
2016-08-18,110
2016-08-19,110
2016-08-20,110
2016-08-21,111
2016-08-22,112
2016-08-23,113
2016-08-24,112
2016-08-25,114
2016-08-26,112
2016-09-01,115
2016-09-02,115
2016-09-03,115
2016-09-04,116
2016-09-05,116
2016-09-06,116
2016-09-07,117
2016-09-08,117
2016-09-09,117
2016-09-10,118
2016-09-11,115
2016-09-12,118
2016-09-13,118
2016-09-14,119
2016-09-15,117
2016-09-16,119
2016-09-17,117
2016-09-18,120
2016-09-19,120
2016-09-20,121
2016-09-21,120
2016-09-22,121
2016-09-23,121
2016-09-24,121
2016-09-25,121
2016-09-26,122
2016-10-01,121
2016-10-02,122
2016-10-03,122
2016-10-04,122
2016-10-05,122
2016-10-06,123
2016-10-07,122
2016-10-08,123
2016-10-09,123
2016-10-10,123
2016-10-11,123
2016-10-12,124
2016-10-13,124
2016-10-14,124
2016-10-15,124
2016-10-16,125
2016-10-17,128
2016-10-18,128
2016-10-19,128
2016-10-20,129
2016-10-21,129
2016-10-22,129
2016-10-23,130
2016-10-24,127
2016-10-25,128
2016-10-26,131
2016-11-01,128
2016-11-02,131
2016-11-03,129
2016-11-04,132
2016-11-05,131
2016-11-06,130
2016-11-07,130
2016-11-08,130
2016-11-09,130
2016-11-10,131
2016-11-11,131
2016-11-12,131
2016-11-13,132
2016-11-14,134
2016-11-15,133
2016-11-16,134
2016-11-17,134
2016-11-18,135
2016-11-19,137
2016-11-20,136
2016-11-21,136
2016-11-22,136
2016-11-23,137
2016-11-24,137
2016-11-25,137
2016-11-26,138
2016-12-01,139
2016-12-02,138
2016-12-03,140
2016-12-04,137
2016-12-05,139
2016-12-06,139
2016-12-07,140
2016-12-08,138
2016-12-09,142
2016-12-10,142
2016-12-11,142
2016-12-12,142
2016-12-13,143
2016-12-14,140
2016-12-15,140
