sep=,
Airport,ENGM
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,32
2016-01-05,33
2016-01-06,33
2016-01-07,34
2016-01-08,34
2016-01-09,35
2016-01-10,35
2016-01-11,35
2016-01-12,36
2016-01-13,36
2016-01-14,37
2016-01-15,37
2016-01-16,37
2016-01-17,38
2016-01-18,38
2016-01-19,38
2016-01-20,39
2016-01-21,39
2016-01-22,39
2016-01-23,40
2016-01-24,40
2016-01-25,40
2016-01-26,40
2016-01-27,41
2016-02-01,41
2016-02-02,41
2016-02-03,42
2016-02-04,42
2016-02-05,42
2016-02-06,43
2016-02-07,43
2016-02-08,43
2016-02-09,43
2016-02-10,44
2016-02-11,44
2016-02-12,44
2016-02-13,45
2016-02-14,45
2016-02-15,45
2016-02-16,45
2016-02-17,46
2016-02-18,46
2016-02-19,46
2016-02-20,46
2016-02-21,47
2016-02-22,47
2016-02-23,47
2016-02-24,47
2016-02-25,48
2016-02-26,48
2016-02-27,48
2016-03-01,48
2016-03-02,49
2016-03-03,49
2016-03-04,49
2016-03-05,49
2016-03-06,50
2016-03-07,50
2016-03-08,50
2016-03-09,50
2016-03-10,51
2016-03-11,51
2016-03-12,51
2016-03-13,51
2016-03-14,52
2016-03-15,52
2016-03-16,52
2016-03-17,52
2016-03-18,52
2016-03-19,53
2016-03-20,53
2016-03-21,53
2016-03-22,53
2016-03-23,54
2016-03-24,54
2016-03-25,54
2016-03-26,54
2016-03-27,55
2016-04-01,55
2016-04-02,55
2016-04-03,55
2016-04-04,55
2016-04-05,56
2016-04-06,56
2016-04-07,56
2016-04-08,56
2016-04-09,56
2016-04-10,57
2016-04-11,57
2016-04-12,57
2016-04-13,57
2016-04-14,58
2016-04-15,58
2016-04-16,58
2016-04-17,58
2016-04-18,58
2016-04-19,59
2016-04-20,59
2016-04-21,59
2016-04-22,59
2016-04-23,59
2016-04-24,60
2016-04-25,60
2016-04-26,60
2016-04-27,60
2016-05-01,61
2016-05-02,61
2016-05-03,61
2016-05-04,61
2016-05-05,61
2016-05-06,62
2016-05-07,62
2016-05-08,62
2016-05-09,62
2016-05-10,62
2016-05-11,63
2016-05-12,63
2016-05-13,63
2016-05-14,63
2016-05-15,63
2016-05-16,64
2016-05-17,64
2016-05-18,64
2016-05-19,64
2016-05-20,64
2016-05-21,65
2016-05-22,65
2016-05-23,65
2016-05-24,65
2016-05-25,65
2016-05-26,66
2016-05-27,66
2016-06-01,66
2016-06-02,66
2016-06-03,66
2016-06-04,66
2016-06-05,67
2016-06-06,67
2016-06-07,67
2016-06-08,67
2016-06-09,67
2016-06-10,68
2016-06-11,68
2016-06-12,68
2016-06-13,68
2016-06-14,68
2016-06-15,69
2016-06-16,69
2016-06-17,69
2016-06-18,69
2016-06-19,69
2016-06-20,70
2016-06-21,70
2016-06-22,70
2016-06-23,70
2016-06-24,70
2016-06-25,70
2016-06-26,71
2016-06-27,71
2016-07-01,71
2016-07-02,71
2016-07-03,71
2016-07-04,72
2016-07-05,72
2016-07-06,72
2016-07-07,72
2016-07-08,72
2016-07-09,72
2016-07-10,73
2016-07-11,73
2016-07-12,73
2016-07-13,73
2016-07-14,73
2016-07-15,74
2016-07-16,74
2016-07-17,74
2016-07-18,74
2016-07-19,74
2016-07-20,74
2016-07-21,75
2016-07-22,75
2016-07-23,75
2016-07-24,75
2016-07-25,75
2016-07-26,76
2016-07-27,76
2016-08-01,76
2016-08-02,76
2016-08-03,76
2016-08-04,76
2016-08-05,77
2016-08-06,77
2016-08-07,77
2016-08-08,77
2016-08-09,77
2016-08-10,77
2016-08-11,78
2016-08-12,78
2016-08-13,78
2016-08-14,78
2016-08-15,78
2016-08-16,79
2016-08-17,79
2016-08-18,79
2016-08-19,79
2016-08-20,79
2016-08-21,79
2016-08-22,80
2016-08-23,80
2016-08-24,80
2016-08-25,80
2016-08-26,80
2016-08-27,80
2016-09-01,81
2016-09-02,81
2016-09-03,81
2016-09-04,81
2016-09-05,81
2016-09-06,81
2016-09-07,82
2016-09-08,82
2016-09-09,82
2016-09-10,82
2016-09-11,82
2016-09-12,82
2016-09-13,83
2016-09-14,83
2016-09-15,83
2016-09-16,83
2016-09-17,83
2016-09-18,83
2016-09-19,84
2016-09-20,84
2016-09-21,84
2016-09-22,84
2016-09-23,84
2016-09-24,84
2016-09-25,85
2016-09-26,85
2016-09-27,85
2016-10-01,85
2016-10-02,85
2016-10-03,85
2016-10-04,188
2016-10-05,189
2016-10-06,190
