sep=,
Airport,EPMO
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,33
2016-01-05,34
2016-01-06,35
2016-01-07,35
2016-01-08,36
2016-01-09,37
2016-01-10,38
2016-01-11,39
2016-01-12,40
2016-01-13,41
2016-01-14,41
2016-01-15,42
2016-01-16,43
2016-01-17,44
2016-01-18,45
2016-01-19,46
2016-01-20,46
2016-01-21,47
2016-01-22,48
2016-01-23,49
2016-01-24,50
2016-01-25,50
2016-01-26,51
2016-01-27,52
2016-02-01,53
2016-02-02,54
2016-02-03,55
2016-02-04,55
2016-02-05,56
2016-02-06,57
2016-02-07,58
2016-02-08,59
2016-02-09,59
2016-02-10,60
2016-02-11,61
2016-02-12,62
2016-02-13,62
2016-02-14,63
2016-02-15,64
2016-02-16,65
2016-02-17,66
2016-02-18,66
2016-02-19,67
2016-02-20,68
2016-02-21,69
2016-02-22,70
2016-02-23,70
2016-02-24,71
2016-02-25,72
2016-02-26,73
2016-02-27,73
2016-03-01,74
2016-03-02,75
2016-03-03,76
2016-03-04,77
2016-03-05,77
2016-03-06,78
2016-03-07,79
2016-03-08,80
2016-03-09,80
2016-03-10,81
2016-03-11,82
2016-03-12,83
2016-03-13,84
2016-03-14,84
2016-03-15,85
2016-03-16,86
2016-03-17,87
2016-03-18,87
2016-03-19,88
2016-03-20,89
2016-03-21,90
2016-03-22,90
2016-03-23,91
2016-03-24,92
2016-03-25,93
2016-03-26,93
2016-03-27,94
2016-04-01,95
2016-04-02,96
2016-04-03,97
2016-04-04,97
2016-04-05,98
2016-04-06,99
2016-04-07,100
2016-04-08,100
2016-04-09,101
2016-04-10,102
2016-04-11,103
2016-04-12,103
2016-04-13,104
2016-04-14,105
2016-04-15,106
2016-04-16,106
2016-04-17,107
2016-04-18,108
2016-04-19,109
2016-04-20,109
2016-04-21,110
2016-04-22,111
2016-04-23,112
2016-04-24,112
2016-04-25,113
2016-04-26,114
2016-04-27,115
2016-05-01,115
2016-05-02,116
2016-05-03,117
2016-05-04,118
2016-05-05,118
2016-05-06,119
2016-05-07,120
2016-05-08,121
2016-05-09,121
2016-05-10,122
2016-05-11,123
2016-05-12,124
2016-05-13,124
2016-05-14,125
2016-05-15,126
2016-05-16,127
2016-05-17,127
2016-05-18,128
2016-05-19,129
2016-05-20,130
2016-05-21,130
2016-05-22,131
2016-05-23,132
2016-05-24,133
2016-05-25,133
2016-05-26,134
2016-05-27,135
2016-06-01,136
2016-06-02,136
2016-06-03,137
2016-06-04,138
2016-06-05,139
2016-06-06,139
2016-06-07,140
2016-06-08,141
2016-06-09,142
2016-06-10,142
2016-06-11,143
2016-06-12,144
2016-06-13,145
2016-06-14,145
2016-06-15,146
2016-06-16,147
2016-06-17,147
2016-06-18,148
2016-06-19,149
2016-06-20,150
2016-06-21,150
2016-06-22,151
2016-06-23,152
2016-06-24,153
2016-06-25,153
2016-06-26,154
2016-06-27,155
2016-07-01,156
2016-07-02,156
2016-07-03,157
2016-07-04,158
2016-07-05,159
2016-07-06,159
2016-07-07,160
2016-07-08,161
2016-07-09,162
2016-07-10,162
2016-07-11,163
2016-07-12,164
2016-07-13,164
2016-07-14,165
2016-07-15,166
2016-07-16,167
2016-07-17,167
2016-07-18,168
2016-07-19,169
2016-07-20,170
2016-07-21,170
2016-07-22,171
2016-07-23,172
2016-07-24,172
2016-07-25,173
2016-07-26,174
2016-07-27,175
2016-08-01,175
2016-08-02,176
2016-08-03,177
2016-08-04,178
2016-08-05,178
2016-08-06,179
2016-08-07,180
2016-08-08,181
2016-08-09,181
2016-08-10,182
2016-08-11,183
2016-08-12,183
2016-08-13,184
2016-08-14,185
2016-08-15,186
2016-08-16,186
2016-08-17,187
2016-08-18,188
2016-08-19,189
2016-08-20,189
2016-08-21,190
2016-08-22,191
2016-08-23,191
2016-08-24,192
2016-08-25,193
2016-08-26,194
2016-08-27,194
2016-09-01,195
2016-09-02,196
2016-09-03,197
2016-09-04,197
2016-09-05,198
2016-09-06,199
2016-09-07,199
2016-09-08,200
2016-09-09,201
2016-09-10,202
2016-09-11,202
2016-09-12,203
2016-09-13,204
2016-09-14,205
2016-09-15,205
2016-09-16,206
2016-09-17,207
2016-09-18,207
2016-09-19,208
2016-09-20,209
2016-09-21,210
2016-09-22,210
2016-09-23,211
2016-09-24,212
2016-09-25,212
2016-09-26,213
2016-09-27,214
2016-10-01,215
2016-10-02,215
2016-10-03,216
2016-10-04,126
2016-10-05,127
2016-10-06,127
