sep=,
Airport,EVRA
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,33
2016-01-05,33
2016-01-06,34
2016-01-07,35
2016-01-08,35
2016-01-09,36
2016-01-10,36
2016-01-11,37
2016-01-12,38
2016-01-13,38
2016-01-14,39
2016-01-15,39
2016-01-16,40
2016-01-17,41
2016-01-18,41
2016-01-19,42
2016-01-20,42
2016-01-21,43
2016-01-22,43
2016-01-23,44
2016-01-24,44
2016-01-25,45
2016-01-26,45
2016-01-27,46
2016-02-01,46
2016-02-02,47
2016-02-03,48
2016-02-04,48
2016-02-05,49
2016-02-06,49
2016-02-07,50
2016-02-08,50
2016-02-09,51
2016-02-10,51
2016-02-11,52
2016-02-12,52
2016-02-13,53
2016-02-14,53
2016-02-15,53
2016-02-16,54
2016-02-17,54
2016-02-18,55
2016-02-19,55
2016-02-20,56
2016-02-21,56
2016-02-22,57
2016-02-23,57
2016-02-24,58
2016-02-25,58
2016-02-26,59
2016-02-27,59
2016-03-01,60
2016-03-02,60
2016-03-03,61
2016-03-04,61
2016-03-05,62
2016-03-06,62
2016-03-07,62
2016-03-08,63
2016-03-09,63
2016-03-10,64
2016-03-11,64
2016-03-12,65
2016-03-13,65
2016-03-14,66
2016-03-15,66
2016-03-16,67
2016-03-17,67
2016-03-18,67
2016-03-19,68
2016-03-20,68
2016-03-21,69
2016-03-22,69
2016-03-23,70
2016-03-24,70
2016-03-25,71
2016-03-26,71
2016-03-27,71
2016-04-01,72
2016-04-02,72
2016-04-03,73
2016-04-04,73
2016-04-05,74
2016-04-06,74
2016-04-07,75
2016-04-08,75
2016-04-09,75
2016-04-10,76
2016-04-11,76
2016-04-12,77
2016-04-13,77
2016-04-14,78
2016-04-15,78
2016-04-16,78
2016-04-17,79
2016-04-18,79
2016-04-19,80
2016-04-20,80
2016-04-21,81
2016-04-22,81
2016-04-23,81
2016-04-24,82
2016-04-25,82
2016-04-26,83
2016-04-27,83
2016-05-01,84
2016-05-02,84
2016-05-03,84
2016-05-04,85
2016-05-05,85
2016-05-06,86
2016-05-07,86
2016-05-08,86
2016-05-09,87
2016-05-10,87
2016-05-11,88
2016-05-12,88
2016-05-13,89
2016-05-14,89
2016-05-15,89
2016-05-16,90
2016-05-17,90
2016-05-18,91
2016-05-19,91
2016-05-20,91
2016-05-21,92
2016-05-22,92
2016-05-23,93
2016-05-24,93
2016-05-25,93
2016-05-26,94
2016-05-27,94
2016-06-01,95
2016-06-02,95
2016-06-03,95
2016-06-04,96
2016-06-05,96
2016-06-06,97
2016-06-07,97
2016-06-08,98
2016-06-09,98
2016-06-10,98
2016-06-11,99
2016-06-12,99
2016-06-13,100
2016-06-14,100
2016-06-15,100
2016-06-16,101
2016-06-17,101
2016-06-18,102
2016-06-19,102
2016-06-20,102
2016-06-21,103
2016-06-22,103
2016-06-23,104
2016-06-24,104
2016-06-25,104
2016-06-26,105
2016-06-27,105
2016-07-01,106
2016-07-02,106
2016-07-03,106
2016-07-04,107
2016-07-05,107
2016-07-06,108
2016-07-07,108
2016-07-08,108
2016-07-09,109
2016-07-10,109
2016-07-11,109
2016-07-12,110
2016-07-13,110
2016-07-14,111
2016-07-15,111
2016-07-16,111
2016-07-17,112
2016-07-18,112
2016-07-19,113
2016-07-20,113
2016-07-21,113
2016-07-22,114
2016-07-23,114
2016-07-24,115
2016-07-25,115
2016-07-26,115
2016-07-27,116
2016-08-01,116
2016-08-02,116
2016-08-03,117
2016-08-04,117
2016-08-05,118
2016-08-06,118
2016-08-07,118
2016-08-08,119
2016-08-09,119
2016-08-10,120
2016-08-11,120
2016-08-12,120
2016-08-13,121
2016-08-14,121
2016-08-15,121
2016-08-16,122
2016-08-17,122
2016-08-18,123
2016-08-19,123
2016-08-20,123
2016-08-21,124
2016-08-22,124
2016-08-23,125
2016-08-24,125
2016-08-25,125
2016-08-26,126
2016-08-27,126
2016-09-01,126
2016-09-02,127
2016-09-03,127
2016-09-04,128
2016-09-05,128
2016-09-06,128
2016-09-07,129
2016-09-08,129
2016-09-09,129
2016-09-10,130
2016-09-11,130
2016-09-12,131
2016-09-13,131
2016-09-14,131
2016-09-15,132
2016-09-16,132
2016-09-17,132
2016-09-18,133
2016-09-19,133
2016-09-20,134
2016-09-21,134
2016-09-22,134
2016-09-23,135
2016-09-24,135
2016-09-25,135
2016-09-26,136
2016-09-27,136
2016-10-01,137
2016-10-02,137
2016-10-03,137
2016-10-04,276
2016-10-05,277
2016-10-06,278
