sep=,
Airport,LATI
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,32
2016-01-05,33
2016-01-06,33
2016-01-07,34
2016-01-08,34
2016-01-09,34
2016-01-10,35
2016-01-11,35
2016-01-12,35
2016-01-13,36
2016-01-14,36
2016-01-15,36
2016-01-16,37
2016-01-17,37
2016-01-18,37
2016-01-19,38
2016-01-20,38
2016-01-21,38
2016-01-22,38
2016-01-23,39
2016-01-24,39
2016-01-25,39
2016-01-26,40
2016-01-27,40
2016-02-01,40
2016-02-02,40
2016-02-03,41
2016-02-04,41
2016-02-05,41
2016-02-06,41
2016-02-07,42
2016-02-08,42
2016-02-09,42
2016-02-10,42
2016-02-11,43
2016-02-12,43
2016-02-13,43
2016-02-14,43
2016-02-15,43
2016-02-16,44
2016-02-17,44
2016-02-18,44
2016-02-19,44
2016-02-20,45
2016-02-21,45
2016-02-22,45
2016-02-23,45
2016-02-24,45
2016-02-25,46
2016-02-26,46
2016-02-27,46
2016-03-01,46
2016-03-02,47
2016-03-03,47
2016-03-04,47
2016-03-05,47
2016-03-06,47
2016-03-07,48
2016-03-08,48
2016-03-09,48
2016-03-10,48
2016-03-11,48
2016-03-12,49
2016-03-13,49
2016-03-14,49
2016-03-15,49
2016-03-16,49
2016-03-17,50
2016-03-18,50
2016-03-19,50
2016-03-20,50
2016-03-21,50
2016-03-22,51
2016-03-23,51
2016-03-24,51
2016-03-25,51
2016-03-26,51
2016-03-27,51
2016-04-01,52
2016-04-02,52
2016-04-03,52
2016-04-04,52
2016-04-05,52
2016-04-06,53
2016-04-07,53
2016-04-08,53
2016-04-09,53
2016-04-10,53
2016-04-11,54
2016-04-12,54
2016-04-13,54
2016-04-14,54
2016-04-15,54
2016-04-16,54
2016-04-17,55
2016-04-18,55
2016-04-19,55
2016-04-20,55
2016-04-21,55
2016-04-22,55
2016-04-23,56
2016-04-24,56
2016-04-25,56
2016-04-26,56
2016-04-27,56
2016-05-01,57
2016-05-02,57
2016-05-03,57
2016-05-04,57
2016-05-05,57
2016-05-06,57
2016-05-07,58
2016-05-08,58
2016-05-09,58
2016-05-10,58
2016-05-11,58
2016-05-12,58
2016-05-13,59
2016-05-14,59
2016-05-15,59
2016-05-16,59
2016-05-17,59
2016-05-18,59
2016-05-19,60
2016-05-20,60
2016-05-21,60
2016-05-22,60
2016-05-23,60
2016-05-24,60
2016-05-25,61
2016-05-26,61
2016-05-27,61
2016-06-01,61
2016-06-02,61
2016-06-03,61
2016-06-04,61
2016-06-05,62
2016-06-06,62
2016-06-07,62
2016-06-08,62
2016-06-09,62
2016-06-10,62
2016-06-11,63
2016-06-12,63
2016-06-13,63
2016-06-14,63
2016-06-15,63
2016-06-16,63
2016-06-17,64
2016-06-18,64
2016-06-19,64
2016-06-20,64
2016-06-21,64
2016-06-22,64
2016-06-23,64
2016-06-24,65
2016-06-25,65
2016-06-26,65
2016-06-27,65
2016-07-01,65
2016-07-02,65
2016-07-03,66
2016-07-04,66
2016-07-05,66
2016-07-06,66
2016-07-07,66
2016-07-08,66
2016-07-09,66
2016-07-10,67
2016-07-11,67
2016-07-12,67
2016-07-13,67
2016-07-14,67
2016-07-15,67
2016-07-16,67
2016-07-17,68
2016-07-18,68
2016-07-19,68
2016-07-20,68
2016-07-21,68
2016-07-22,68
2016-07-23,68
2016-07-24,69
2016-07-25,69
2016-07-26,69
2016-07-27,69
2016-08-01,69
2016-08-02,69
2016-08-03,70
2016-08-04,70
2016-08-05,70
2016-08-06,70
2016-08-07,70
2016-08-08,70
2016-08-09,70
2016-08-10,71
2016-08-11,71
2016-08-12,71
2016-08-13,71
2016-08-14,71
2016-08-15,71
2016-08-16,71
2016-08-17,72
2016-08-18,72
2016-08-19,72
2016-08-20,72
2016-08-21,72
2016-08-22,72
2016-08-23,72
2016-08-24,73
2016-08-25,73
2016-08-26,73
2016-08-27,73
2016-09-01,73
2016-09-02,73
2016-09-03,73
2016-09-04,73
2016-09-05,74
2016-09-06,74
2016-09-07,74
2016-09-08,74
2016-09-09,74
2016-09-10,74
2016-09-11,74
2016-09-12,75
2016-09-13,75
2016-09-14,75
2016-09-15,75
2016-09-16,75
2016-09-17,75
2016-09-18,75
2016-09-19,76
2016-09-20,76
2016-09-21,76
2016-09-22,76
2016-09-23,76
2016-09-24,76
2016-09-25,76
2016-09-26,76
2016-09-27,77
2016-10-01,77
2016-10-02,77
2016-10-03,77
2016-10-04,83
2016-10-05,83
2016-10-06,83
