sep=,
Airport,LBSF
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,32
2016-01-05,33
2016-01-06,33
2016-01-07,34
2016-01-08,34
2016-01-09,35
2016-01-10,35
2016-01-11,36
2016-01-12,36
2016-01-13,36
2016-01-14,37
2016-01-15,37
2016-01-16,38
2016-01-17,38
2016-01-18,38
2016-01-19,39
2016-01-20,39
2016-01-21,39
2016-01-22,40
2016-01-23,40
2016-01-24,41
2016-01-25,41
2016-01-26,41
2016-01-27,42
2016-02-01,42
2016-02-02,42
2016-02-03,42
2016-02-04,43
2016-02-05,43
2016-02-06,43
2016-02-07,44
2016-02-08,44
2016-02-09,44
2016-02-10,45
2016-02-11,45
2016-02-12,45
2016-02-13,46
2016-02-14,46
2016-02-15,46
2016-02-16,46
2016-02-17,47
2016-02-18,47
2016-02-19,47
2016-02-20,48
2016-02-21,48
2016-02-22,48
2016-02-23,49
2016-02-24,49
2016-02-25,49
2016-02-26,49
2016-02-27,50
2016-03-01,50
2016-03-02,50
2016-03-03,50
2016-03-04,51
2016-03-05,51
2016-03-06,51
2016-03-07,52
2016-03-08,52
2016-03-09,52
2016-03-10,52
2016-03-11,53
2016-03-12,53
2016-03-13,53
2016-03-14,53
2016-03-15,54
2016-03-16,54
2016-03-17,54
2016-03-18,54
2016-03-19,55
2016-03-20,55
2016-03-21,55
2016-03-22,55
2016-03-23,56
2016-03-24,56
2016-03-25,56
2016-03-26,56
2016-03-27,57
2016-04-01,57
2016-04-02,57
2016-04-03,57
2016-04-04,58
2016-04-05,58
2016-04-06,58
2016-04-07,58
2016-04-08,59
2016-04-09,59
2016-04-10,59
2016-04-11,59
2016-04-12,60
2016-04-13,60
2016-04-14,60
2016-04-15,60
2016-04-16,61
2016-04-17,61
2016-04-18,61
2016-04-19,61
2016-04-20,62
2016-04-21,62
2016-04-22,62
2016-04-23,62
2016-04-24,63
2016-04-25,63
2016-04-26,63
2016-04-27,63
2016-05-01,64
2016-05-02,64
2016-05-03,64
2016-05-04,64
2016-05-05,64
2016-05-06,65
2016-05-07,65
2016-05-08,65
2016-05-09,65
2016-05-10,66
2016-05-11,66
2016-05-12,66
2016-05-13,66
2016-05-14,66
2016-05-15,67
2016-05-16,67
2016-05-17,67
2016-05-18,67
2016-05-19,68
2016-05-20,68
2016-05-21,68
2016-05-22,68
2016-05-23,68
2016-05-24,69
2016-05-25,69
2016-05-26,69
2016-05-27,69
2016-06-01,70
2016-06-02,70
2016-06-03,70
2016-06-04,70
2016-06-05,70
2016-06-06,71
2016-06-07,71
2016-06-08,71
2016-06-09,71
2016-06-10,72
2016-06-11,72
2016-06-12,72
2016-06-13,72
2016-06-14,72
2016-06-15,73
2016-06-16,73
2016-06-17,73
2016-06-18,73
2016-06-19,74
2016-06-20,74
2016-06-21,74
2016-06-22,74
2016-06-23,74
2016-06-24,75
2016-06-25,75
2016-06-26,75
2016-06-27,75
2016-07-01,75
2016-07-02,76
2016-07-03,76
2016-07-04,76
2016-07-05,76
2016-07-06,76
2016-07-07,77
2016-07-08,77
2016-07-09,77
2016-07-10,77
2016-07-11,77
2016-07-12,78
2016-07-13,78
2016-07-14,78
2016-07-15,78
2016-07-16,79
2016-07-17,79
2016-07-18,79
2016-07-19,79
2016-07-20,79
2016-07-21,80
2016-07-22,80
2016-07-23,80
2016-07-24,80
2016-07-25,80
2016-07-26,81
2016-07-27,81
2016-08-01,81
2016-08-02,81
2016-08-03,81
2016-08-04,82
2016-08-05,82
2016-08-06,82
2016-08-07,82
2016-08-08,82
2016-08-09,83
2016-08-10,83
2016-08-11,83
2016-08-12,83
2016-08-13,83
2016-08-14,84
2016-08-15,84
2016-08-16,84
2016-08-17,84
2016-08-18,84
2016-08-19,85
2016-08-20,85
2016-08-21,85
2016-08-22,85
2016-08-23,85
2016-08-24,86
2016-08-25,86
2016-08-26,86
2016-08-27,86
2016-09-01,86
2016-09-02,87
2016-09-03,87
2016-09-04,87
2016-09-05,87
2016-09-06,87
2016-09-07,88
2016-09-08,88
2016-09-09,88
2016-09-10,88
2016-09-11,88
2016-09-12,88
2016-09-13,89
2016-09-14,89
2016-09-15,89
2016-09-16,89
2016-09-17,89
2016-09-18,90
2016-09-19,90
2016-09-20,90
2016-09-21,90
2016-09-22,90
2016-09-23,91
2016-09-24,91
2016-09-25,91
2016-09-26,91
2016-09-27,91
2016-10-01,92
2016-10-02,92
2016-10-03,92
2016-10-04,164
2016-10-05,165
2016-10-06,165
