sep=,
Airport,LDZA
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,33
2016-01-05,34
2016-01-06,34
2016-01-07,35
2016-01-08,36
2016-01-09,37
2016-01-10,38
2016-01-11,38
2016-01-12,39
2016-01-13,40
2016-01-14,41
2016-01-15,41
2016-01-16,42
2016-01-17,43
2016-01-18,44
2016-01-19,44
2016-01-20,45
2016-01-21,46
2016-01-22,46
2016-01-23,47
2016-01-24,48
2016-01-25,49
2016-01-26,49
2016-01-27,50
2016-02-01,51
2016-02-02,51
2016-02-03,52
2016-02-04,53
2016-02-05,54
2016-02-06,54
2016-02-07,55
2016-02-08,56
2016-02-09,56
2016-02-10,57
2016-02-11,58
2016-02-12,58
2016-02-13,59
2016-02-14,60
2016-02-15,60
2016-02-16,61
2016-02-17,62
2016-02-18,63
2016-02-19,63
2016-02-20,64
2016-02-21,65
2016-02-22,65
2016-02-23,66
2016-02-24,67
2016-02-25,67
2016-02-26,68
2016-02-27,69
2016-03-01,69
2016-03-02,70
2016-03-03,71
2016-03-04,71
2016-03-05,72
2016-03-06,73
2016-03-07,73
2016-03-08,74
2016-03-09,75
2016-03-10,75
2016-03-11,76
2016-03-12,77
2016-03-13,77
2016-03-14,78
2016-03-15,79
2016-03-16,79
2016-03-17,80
2016-03-18,80
2016-03-19,81
2016-03-20,82
2016-03-21,82
2016-03-22,83
2016-03-23,84
2016-03-24,84
2016-03-25,85
2016-03-26,86
2016-03-27,86
2016-04-01,87
2016-04-02,88
2016-04-03,88
2016-04-04,89
2016-04-05,90
2016-04-06,90
2016-04-07,91
2016-04-08,92
2016-04-09,92
2016-04-10,93
2016-04-11,93
2016-04-12,94
2016-04-13,95
2016-04-14,95
2016-04-15,96
2016-04-16,97
2016-04-17,97
2016-04-18,98
2016-04-19,99
2016-04-20,99
2016-04-21,100
2016-04-22,100
2016-04-23,101
2016-04-24,102
2016-04-25,102
2016-04-26,103
2016-04-27,104
2016-05-01,104
2016-05-02,105
2016-05-03,106
2016-05-04,106
2016-05-05,107
2016-05-06,107
2016-05-07,108
2016-05-08,109
2016-05-09,109
2016-05-10,110
2016-05-11,111
2016-05-12,111
2016-05-13,112
2016-05-14,112
2016-05-15,113
2016-05-16,114
2016-05-17,114
2016-05-18,115
2016-05-19,116
2016-05-20,116
2016-05-21,117
2016-05-22,117
2016-05-23,118
2016-05-24,119
2016-05-25,119
2016-05-26,120
2016-05-27,121
2016-06-01,121
2016-06-02,122
2016-06-03,122
2016-06-04,123
2016-06-05,124
2016-06-06,124
2016-06-07,125
2016-06-08,126
2016-06-09,126
2016-06-10,127
2016-06-11,127
2016-06-12,128
2016-06-13,129
2016-06-14,129
2016-06-15,130
2016-06-16,130
2016-06-17,131
2016-06-18,132
2016-06-19,132
2016-06-20,133
2016-06-21,134
2016-06-22,134
2016-06-23,135
2016-06-24,135
2016-06-25,136
2016-06-26,137
2016-06-27,137
2016-07-01,138
2016-07-02,138
2016-07-03,139
2016-07-04,140
2016-07-05,140
2016-07-06,141
2016-07-07,142
2016-07-08,142
2016-07-09,143
2016-07-10,143
2016-07-11,144
2016-07-12,145
2016-07-13,145
2016-07-14,146
2016-07-15,146
2016-07-16,147
2016-07-17,148
2016-07-18,148
2016-07-19,149
2016-07-20,149
2016-07-21,150
2016-07-22,151
2016-07-23,151
2016-07-24,152
2016-07-25,152
2016-07-26,153
2016-07-27,154
2016-08-01,154
2016-08-02,155
2016-08-03,155
2016-08-04,156
2016-08-05,157
2016-08-06,157
2016-08-07,158
2016-08-08,158
2016-08-09,159
2016-08-10,160
2016-08-11,160
2016-08-12,161
2016-08-13,162
2016-08-14,162
2016-08-15,163
2016-08-16,163
2016-08-17,164
2016-08-18,165
2016-08-19,165
2016-08-20,166
2016-08-21,166
2016-08-22,167
2016-08-23,168
2016-08-24,168
2016-08-25,169
2016-08-26,169
2016-08-27,170
2016-09-01,171
2016-09-02,171
2016-09-03,172
2016-09-04,172
2016-09-05,173
2016-09-06,173
2016-09-07,174
2016-09-08,175
2016-09-09,175
2016-09-10,176
2016-09-11,176
2016-09-12,177
2016-09-13,178
2016-09-14,178
2016-09-15,179
2016-09-16,179
2016-09-17,180
2016-09-18,181
2016-09-19,181
2016-09-20,182
2016-09-21,182
2016-09-22,183
2016-09-23,184
2016-09-24,184
2016-09-25,185
2016-09-26,185
2016-09-27,186
2016-10-01,187
2016-10-02,187
2016-10-03,188
2016-10-04,157
2016-10-05,158
2016-10-06,158
