sep=,
Airport,LGAV
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,33
2016-01-05,33
2016-01-06,34
2016-01-07,35
2016-01-08,35
2016-01-09,36
2016-01-10,36
2016-01-11,37
2016-01-12,37
2016-01-13,38
2016-01-14,39
2016-01-15,39
2016-01-16,40
2016-01-17,40
2016-01-18,41
2016-01-19,41
2016-01-20,42
2016-01-21,42
2016-01-22,43
2016-01-23,43
2016-01-24,44
2016-01-25,44
2016-01-26,45
2016-01-27,45
2016-02-01,46
2016-02-02,46
2016-02-03,47
2016-02-04,47
2016-02-05,48
2016-02-06,48
2016-02-07,49
2016-02-08,49
2016-02-09,50
2016-02-10,50
2016-02-11,51
2016-02-12,51
2016-02-13,52
2016-02-14,52
2016-02-15,53
2016-02-16,53
2016-02-17,54
2016-02-18,54
2016-02-19,54
2016-02-20,55
2016-02-21,55
2016-02-22,56
2016-02-23,56
2016-02-24,57
2016-02-25,57
2016-02-26,58
2016-02-27,58
2016-03-01,59
2016-03-02,59
2016-03-03,59
2016-03-04,60
2016-03-05,60
2016-03-06,61
2016-03-07,61
2016-03-08,62
2016-03-09,62
2016-03-10,62
2016-03-11,63
2016-03-12,63
2016-03-13,64
2016-03-14,64
2016-03-15,65
2016-03-16,65
2016-03-17,65
2016-03-18,66
2016-03-19,66
2016-03-20,67
2016-03-21,67
2016-03-22,68
2016-03-23,68
2016-03-24,68
2016-03-25,69
2016-03-26,69
2016-03-27,70
2016-04-01,70
2016-04-02,71
2016-04-03,71
2016-04-04,71
2016-04-05,72
2016-04-06,72
2016-04-07,73
2016-04-08,73
2016-04-09,73
2016-04-10,74
2016-04-11,74
2016-04-12,75
2016-04-13,75
2016-04-14,75
2016-04-15,76
2016-04-16,76
2016-04-17,77
2016-04-18,77
2016-04-19,77
2016-04-20,78
2016-04-21,78
2016-04-22,79
2016-04-23,79
2016-04-24,79
2016-04-25,80
2016-04-26,80
2016-04-27,81
2016-05-01,81
2016-05-02,81
2016-05-03,82
2016-05-04,82
2016-05-05,83
2016-05-06,83
2016-05-07,83
2016-05-08,84
2016-05-09,84
2016-05-10,85
2016-05-11,85
2016-05-12,85
2016-05-13,86
2016-05-14,86
2016-05-15,87
2016-05-16,87
2016-05-17,87
2016-05-18,88
2016-05-19,88
2016-05-20,89
2016-05-21,89
2016-05-22,89
2016-05-23,90
2016-05-24,90
2016-05-25,90
2016-05-26,91
2016-05-27,91
2016-06-01,92
2016-06-02,92
2016-06-03,92
2016-06-04,93
2016-06-05,93
2016-06-06,93
2016-06-07,94
2016-06-08,94
2016-06-09,95
2016-06-10,95
2016-06-11,95
2016-06-12,96
2016-06-13,96
2016-06-14,97
2016-06-15,97
2016-06-16,97
2016-06-17,98
2016-06-18,98
2016-06-19,98
2016-06-20,99
2016-06-21,99
2016-06-22,100
2016-06-23,100
2016-06-24,100
2016-06-25,101
2016-06-26,101
2016-06-27,101
2016-07-01,102
2016-07-02,102
2016-07-03,103
2016-07-04,103
2016-07-05,103
2016-07-06,104
2016-07-07,104
2016-07-08,104
2016-07-09,105
2016-07-10,105
2016-07-11,105
2016-07-12,106
2016-07-13,106
2016-07-14,107
2016-07-15,107
2016-07-16,107
2016-07-17,108
2016-07-18,108
2016-07-19,108
2016-07-20,109
2016-07-21,109
2016-07-22,110
2016-07-23,110
2016-07-24,110
2016-07-25,111
2016-07-26,111
2016-07-27,111
2016-08-01,112
2016-08-02,112
2016-08-03,112
2016-08-04,113
2016-08-05,113
2016-08-06,114
2016-08-07,114
2016-08-08,114
2016-08-09,115
2016-08-10,115
2016-08-11,115
2016-08-12,116
2016-08-13,116
2016-08-14,116
2016-08-15,117
2016-08-16,117
2016-08-17,117
2016-08-18,118
2016-08-19,118
2016-08-20,119
2016-08-21,119
2016-08-22,119
2016-08-23,120
2016-08-24,120
2016-08-25,120
2016-08-26,121
2016-08-27,121
2016-09-01,121
2016-09-02,122
2016-09-03,122
2016-09-04,122
2016-09-05,123
2016-09-06,123
2016-09-07,124
2016-09-08,124
2016-09-09,124
2016-09-10,125
2016-09-11,125
2016-09-12,125
2016-09-13,126
2016-09-14,126
2016-09-15,126
2016-09-16,127
2016-09-17,127
2016-09-18,127
2016-09-19,128
2016-09-20,128
2016-09-21,128
2016-09-22,129
2016-09-23,129
2016-09-24,130
2016-09-25,130
2016-09-26,130
2016-09-27,131
2016-10-01,131
2016-10-02,131
2016-10-03,132
2016-10-04,138
2016-10-05,138
2016-10-06,138
