sep=,
Airport,LHBP
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,33
2016-01-05,33
2016-01-06,34
2016-01-07,35
2016-01-08,36
2016-01-09,36
2016-01-10,37
2016-01-11,38
2016-01-12,38
2016-01-13,39
2016-01-14,40
2016-01-15,40
2016-01-16,41
2016-01-17,41
2016-01-18,42
2016-01-19,43
2016-01-20,43
2016-01-21,44
2016-01-22,45
2016-01-23,45
2016-01-24,46
2016-01-25,46
2016-01-26,47
2016-01-27,48
2016-02-01,48
2016-02-02,49
2016-02-03,49
2016-02-04,50
2016-02-05,51
2016-02-06,51
2016-02-07,52
2016-02-08,52
2016-02-09,53
2016-02-10,53
2016-02-11,54
2016-02-12,55
2016-02-13,55
2016-02-14,56
2016-02-15,56
2016-02-16,57
2016-02-17,57
2016-02-18,58
2016-02-19,58
2016-02-20,59
2016-02-21,60
2016-02-22,60
2016-02-23,61
2016-02-24,61
2016-02-25,62
2016-02-26,62
2016-02-27,63
2016-03-01,63
2016-03-02,64
2016-03-03,65
2016-03-04,65
2016-03-05,66
2016-03-06,66
2016-03-07,67
2016-03-08,67
2016-03-09,68
2016-03-10,68
2016-03-11,69
2016-03-12,69
2016-03-13,70
2016-03-14,70
2016-03-15,71
2016-03-16,72
2016-03-17,72
2016-03-18,73
2016-03-19,73
2016-03-20,74
2016-03-21,74
2016-03-22,75
2016-03-23,75
2016-03-24,76
2016-03-25,76
2016-03-26,77
2016-03-27,77
2016-04-01,78
2016-04-02,78
2016-04-03,79
2016-04-04,79
2016-04-05,80
2016-04-06,80
2016-04-07,81
2016-04-08,81
2016-04-09,82
2016-04-10,82
2016-04-11,83
2016-04-12,83
2016-04-13,84
2016-04-14,84
2016-04-15,85
2016-04-16,86
2016-04-17,86
2016-04-18,87
2016-04-19,87
2016-04-20,88
2016-04-21,88
2016-04-22,89
2016-04-23,89
2016-04-24,90
2016-04-25,90
2016-04-26,91
2016-04-27,91
2016-05-01,92
2016-05-02,92
2016-05-03,93
2016-05-04,93
2016-05-05,94
2016-05-06,94
2016-05-07,95
2016-05-08,95
2016-05-09,96
2016-05-10,96
2016-05-11,97
2016-05-12,97
2016-05-13,98
2016-05-14,98
2016-05-15,99
2016-05-16,99
2016-05-17,100
2016-05-18,100
2016-05-19,101
2016-05-20,101
2016-05-21,102
2016-05-22,102
2016-05-23,102
2016-05-24,103
2016-05-25,103
2016-05-26,104
2016-05-27,104
2016-06-01,105
2016-06-02,105
2016-06-03,106
2016-06-04,106
2016-06-05,107
2016-06-06,107
2016-06-07,108
2016-06-08,108
2016-06-09,109
2016-06-10,109
2016-06-11,110
2016-06-12,110
2016-06-13,111
2016-06-14,111
2016-06-15,112
2016-06-16,112
2016-06-17,113
2016-06-18,113
2016-06-19,114
2016-06-20,114
2016-06-21,115
2016-06-22,115
2016-06-23,116
2016-06-24,116
2016-06-25,117
2016-06-26,117
2016-06-27,117
2016-07-01,118
2016-07-02,118
2016-07-03,119
2016-07-04,119
2016-07-05,120
2016-07-06,120
2016-07-07,121
2016-07-08,121
2016-07-09,122
2016-07-10,122
2016-07-11,123
2016-07-12,123
2016-07-13,124
2016-07-14,124
2016-07-15,125
2016-07-16,125
2016-07-17,126
2016-07-18,126
2016-07-19,127
2016-07-20,127
2016-07-21,127
2016-07-22,128
2016-07-23,128
2016-07-24,129
2016-07-25,129
2016-07-26,130
2016-07-27,130
2016-08-01,131
2016-08-02,131
2016-08-03,132
2016-08-04,132
2016-08-05,133
2016-08-06,133
2016-08-07,134
2016-08-08,134
2016-08-09,135
2016-08-10,135
2016-08-11,135
2016-08-12,136
2016-08-13,136
2016-08-14,137
2016-08-15,137
2016-08-16,138
2016-08-17,138
2016-08-18,139
2016-08-19,139
2016-08-20,140
2016-08-21,140
2016-08-22,141
2016-08-23,141
2016-08-24,141
2016-08-25,142
2016-08-26,142
2016-08-27,143
2016-09-01,143
2016-09-02,144
2016-09-03,144
2016-09-04,145
2016-09-05,145
2016-09-06,146
2016-09-07,146
2016-09-08,147
2016-09-09,147
2016-09-10,147
2016-09-11,148
2016-09-12,148
2016-09-13,149
2016-09-14,149
2016-09-15,150
2016-09-16,150
2016-09-17,151
2016-09-18,151
2016-09-19,152
2016-09-20,152
2016-09-21,153
2016-09-22,153
2016-09-23,153
2016-09-24,154
2016-09-25,154
2016-09-26,155
2016-09-27,155
2016-10-01,156
2016-10-02,156
2016-10-03,157
2016-10-04,138
2016-10-05,138
2016-10-06,138
