sep=,
Airport,LIRA
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,32
2016-01-05,33
2016-01-06,34
2016-01-07,34
2016-01-08,35
2016-01-09,36
2016-01-10,36
2016-01-11,37
2016-01-12,37
2016-01-13,38
2016-01-14,38
2016-01-15,39
2016-01-16,39
2016-01-17,40
2016-01-18,40
2016-01-19,41
2016-01-20,41
2016-01-21,42
2016-01-22,42
2016-01-23,43
2016-01-24,43
2016-01-25,44
2016-01-26,44
2016-01-27,44
2016-02-01,45
2016-02-02,45
2016-02-03,46
2016-02-04,46
2016-02-05,47
2016-02-06,47
2016-02-07,48
2016-02-08,48
2016-02-09,48
2016-02-10,49
2016-02-11,49
2016-02-12,50
2016-02-13,50
2016-02-14,51
2016-02-15,51
2016-02-16,51
2016-02-17,52
2016-02-18,52
2016-02-19,53
2016-02-20,53
2016-02-21,54
2016-02-22,54
2016-02-23,54
2016-02-24,55
2016-02-25,55
2016-02-26,56
2016-02-27,56
2016-03-01,56
2016-03-02,57
2016-03-03,57
2016-03-04,58
2016-03-05,58
2016-03-06,58
2016-03-07,59
2016-03-08,59
2016-03-09,59
2016-03-10,60
2016-03-11,60
2016-03-12,61
2016-03-13,61
2016-03-14,61
2016-03-15,62
2016-03-16,62
2016-03-17,63
2016-03-18,63
2016-03-19,63
2016-03-20,64
2016-03-21,64
2016-03-22,64
2016-03-23,65
2016-03-24,65
2016-03-25,66
2016-03-26,66
2016-03-27,66
2016-04-01,67
2016-04-02,67
2016-04-03,67
2016-04-04,68
2016-04-05,68
2016-04-06,69
2016-04-07,69
2016-04-08,69
2016-04-09,70
2016-04-10,70
2016-04-11,70
2016-04-12,71
2016-04-13,71
2016-04-14,71
2016-04-15,72
2016-04-16,72
2016-04-17,73
2016-04-18,73
2016-04-19,73
2016-04-20,74
2016-04-21,74
2016-04-22,74
2016-04-23,75
2016-04-24,75
2016-04-25,75
2016-04-26,76
2016-04-27,76
2016-05-01,76
2016-05-02,77
2016-05-03,77
2016-05-04,78
2016-05-05,78
2016-05-06,78
2016-05-07,79
2016-05-08,79
2016-05-09,79
2016-05-10,80
2016-05-11,80
2016-05-12,80
2016-05-13,81
2016-05-14,81
2016-05-15,81
2016-05-16,82
2016-05-17,82
2016-05-18,82
2016-05-19,83
2016-05-20,83
2016-05-21,83
2016-05-22,84
2016-05-23,84
2016-05-24,84
2016-05-25,85
2016-05-26,85
2016-05-27,85
2016-06-01,86
2016-06-02,86
2016-06-03,87
2016-06-04,87
2016-06-05,87
2016-06-06,88
2016-06-07,88
2016-06-08,88
2016-06-09,89
2016-06-10,89
2016-06-11,89
2016-06-12,90
2016-06-13,90
2016-06-14,90
2016-06-15,91
2016-06-16,91
2016-06-17,91
2016-06-18,92
2016-06-19,92
2016-06-20,92
2016-06-21,93
2016-06-22,93
2016-06-23,93
2016-06-24,94
2016-06-25,94
2016-06-26,94
2016-06-27,95
2016-07-01,95
2016-07-02,95
2016-07-03,95
2016-07-04,96
2016-07-05,96
2016-07-06,96
2016-07-07,97
2016-07-08,97
2016-07-09,97
2016-07-10,98
2016-07-11,98
2016-07-12,98
2016-07-13,99
2016-07-14,99
2016-07-15,99
2016-07-16,100
2016-07-17,100
2016-07-18,100
2016-07-19,101
2016-07-20,101
2016-07-21,101
2016-07-22,102
2016-07-23,102
2016-07-24,102
2016-07-25,103
2016-07-26,103
2016-07-27,103
2016-08-01,104
2016-08-02,104
2016-08-03,104
2016-08-04,105
2016-08-05,105
2016-08-06,105
2016-08-07,105
2016-08-08,106
2016-08-09,106
2016-08-10,106
2016-08-11,107
2016-08-12,107
2016-08-13,107
2016-08-14,108
2016-08-15,108
2016-08-16,108
2016-08-17,109
2016-08-18,109
2016-08-19,109
2016-08-20,110
2016-08-21,110
2016-08-22,110
2016-08-23,111
2016-08-24,111
2016-08-25,111
2016-08-26,111
2016-08-27,112
2016-09-01,112
2016-09-02,112
2016-09-03,113
2016-09-04,113
2016-09-05,113
2016-09-06,114
2016-09-07,114
2016-09-08,114
2016-09-09,115
2016-09-10,115
2016-09-11,115
2016-09-12,115
2016-09-13,116
2016-09-14,116
2016-09-15,116
2016-09-16,117
2016-09-17,117
2016-09-18,117
2016-09-19,118
2016-09-20,118
2016-09-21,118
2016-09-22,119
2016-09-23,119
2016-09-24,119
2016-09-25,119
2016-09-26,120
2016-09-27,120
2016-10-01,120
2016-10-02,121
2016-10-03,121
2016-10-04,290
2016-10-05,291
2016-10-06,292
