sep=,
Airport,LPPT
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,32
2016-01-05,33
2016-01-06,34
2016-01-07,34
2016-01-08,35
2016-01-09,35
2016-01-10,36
2016-01-11,36
2016-01-12,37
2016-01-13,37
2016-01-14,38
2016-01-15,38
2016-01-16,38
2016-01-17,39
2016-01-18,39
2016-01-19,40
2016-01-20,40
2016-01-21,41
2016-01-22,41
2016-01-23,41
2016-01-24,42
2016-01-25,42
2016-01-26,43
2016-01-27,43
2016-02-01,44
2016-02-02,44
2016-02-03,44
2016-02-04,45
2016-02-05,45
2016-02-06,45
2016-02-07,46
2016-02-08,46
2016-02-09,47
2016-02-10,47
2016-02-11,47
2016-02-12,48
2016-02-13,48
2016-02-14,48
2016-02-15,49
2016-02-16,49
2016-02-17,50
2016-02-18,50
2016-02-19,50
2016-02-20,51
2016-02-21,51
2016-02-22,51
2016-02-23,52
2016-02-24,52
2016-02-25,52
2016-02-26,53
2016-02-27,53
2016-03-01,53
2016-03-02,54
2016-03-03,54
2016-03-04,54
2016-03-05,55
2016-03-06,55
2016-03-07,55
2016-03-08,56
2016-03-09,56
2016-03-10,56
2016-03-11,57
2016-03-12,57
2016-03-13,57
2016-03-14,58
2016-03-15,58
2016-03-16,58
2016-03-17,59
2016-03-18,59
2016-03-19,59
2016-03-20,60
2016-03-21,60
2016-03-22,60
2016-03-23,61
2016-03-24,61
2016-03-25,61
2016-03-26,62
2016-03-27,62
2016-04-01,62
2016-04-02,63
2016-04-03,63
2016-04-04,63
2016-04-05,63
2016-04-06,64
2016-04-07,64
2016-04-08,64
2016-04-09,65
2016-04-10,65
2016-04-11,65
2016-04-12,66
2016-04-13,66
2016-04-14,66
2016-04-15,67
2016-04-16,67
2016-04-17,67
2016-04-18,67
2016-04-19,68
2016-04-20,68
2016-04-21,68
2016-04-22,69
2016-04-23,69
2016-04-24,69
2016-04-25,70
2016-04-26,70
2016-04-27,70
2016-05-01,70
2016-05-02,71
2016-05-03,71
2016-05-04,71
2016-05-05,72
2016-05-06,72
2016-05-07,72
2016-05-08,72
2016-05-09,73
2016-05-10,73
2016-05-11,73
2016-05-12,74
2016-05-13,74
2016-05-14,74
2016-05-15,74
2016-05-16,75
2016-05-17,75
2016-05-18,75
2016-05-19,76
2016-05-20,76
2016-05-21,76
2016-05-22,76
2016-05-23,77
2016-05-24,77
2016-05-25,77
2016-05-26,78
2016-05-27,78
2016-06-01,78
2016-06-02,78
2016-06-03,79
2016-06-04,79
2016-06-05,79
2016-06-06,80
2016-06-07,80
2016-06-08,80
2016-06-09,80
2016-06-10,81
2016-06-11,81
2016-06-12,81
2016-06-13,82
2016-06-14,82
2016-06-15,82
2016-06-16,82
2016-06-17,83
2016-06-18,83
2016-06-19,83
2016-06-20,83
2016-06-21,84
2016-06-22,84
2016-06-23,84
2016-06-24,85
2016-06-25,85
2016-06-26,85
2016-06-27,85
2016-07-01,86
2016-07-02,86
2016-07-03,86
2016-07-04,86
2016-07-05,87
2016-07-06,87
2016-07-07,87
2016-07-08,88
2016-07-09,88
2016-07-10,88
2016-07-11,88
2016-07-12,89
2016-07-13,89
2016-07-14,89
2016-07-15,89
2016-07-16,90
2016-07-17,90
2016-07-18,90
2016-07-19,90
2016-07-20,91
2016-07-21,91
2016-07-22,91
2016-07-23,92
2016-07-24,92
2016-07-25,92
2016-07-26,92
2016-07-27,93
2016-08-01,93
2016-08-02,93
2016-08-03,93
2016-08-04,94
2016-08-05,94
2016-08-06,94
2016-08-07,94
2016-08-08,95
2016-08-09,95
2016-08-10,95
2016-08-11,95
2016-08-12,96
2016-08-13,96
2016-08-14,96
2016-08-15,97
2016-08-16,97
2016-08-17,97
2016-08-18,97
2016-08-19,98
2016-08-20,98
2016-08-21,98
2016-08-22,98
2016-08-23,99
2016-08-24,99
2016-08-25,99
2016-08-26,99
2016-08-27,100
2016-09-01,100
2016-09-02,100
2016-09-03,100
2016-09-04,101
2016-09-05,101
2016-09-06,101
2016-09-07,101
2016-09-08,102
2016-09-09,102
2016-09-10,102
2016-09-11,102
2016-09-12,103
2016-09-13,103
2016-09-14,103
2016-09-15,103
2016-09-16,104
2016-09-17,104
2016-09-18,104
2016-09-19,104
2016-09-20,105
2016-09-21,105
2016-09-22,105
2016-09-23,105
2016-09-24,106
2016-09-25,106
2016-09-26,106
2016-09-27,106
2016-10-01,107
2016-10-02,107
2016-10-03,107
2016-10-04,197
2016-10-05,198
2016-10-06,199
