sep=,
Airport,LZIB
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,33
2016-01-05,33
2016-01-06,34
2016-01-07,35
2016-01-08,35
2016-01-09,36
2016-01-10,37
2016-01-11,37
2016-01-12,38
2016-01-13,39
2016-01-14,39
2016-01-15,40
2016-01-16,41
2016-01-17,41
2016-01-18,42
2016-01-19,42
2016-01-20,43
2016-01-21,44
2016-01-22,44
2016-01-23,45
2016-01-24,45
2016-01-25,46
2016-01-26,46
2016-01-27,47
2016-02-01,48
2016-02-02,48
2016-02-03,49
2016-02-04,49
2016-02-05,50
2016-02-06,50
2016-02-07,51
2016-02-08,51
2016-02-09,52
2016-02-10,53
2016-02-11,53
2016-02-12,54
2016-02-13,54
2016-02-14,55
2016-02-15,55
2016-02-16,56
2016-02-17,56
2016-02-18,57
2016-02-19,57
2016-02-20,58
2016-02-21,58
2016-02-22,59
2016-02-23,60
2016-02-24,60
2016-02-25,61
2016-02-26,61
2016-02-27,62
2016-03-01,62
2016-03-02,63
2016-03-03,63
2016-03-04,64
2016-03-05,64
2016-03-06,65
2016-03-07,65
2016-03-08,66
2016-03-09,66
2016-03-10,67
2016-03-11,67
2016-03-12,68
2016-03-13,68
2016-03-14,69
2016-03-15,69
2016-03-16,70
2016-03-17,70
2016-03-18,71
2016-03-19,71
2016-03-20,72
2016-03-21,72
2016-03-22,73
2016-03-23,73
2016-03-24,74
2016-03-25,74
2016-03-26,75
2016-03-27,75
2016-04-01,76
2016-04-02,76
2016-04-03,77
2016-04-04,77
2016-04-05,78
2016-04-06,78
2016-04-07,79
2016-04-08,79
2016-04-09,80
2016-04-10,80
2016-04-11,81
2016-04-12,81
2016-04-13,82
2016-04-14,82
2016-04-15,83
2016-04-16,83
2016-04-17,84
2016-04-18,84
2016-04-19,84
2016-04-20,85
2016-04-21,85
2016-04-22,86
2016-04-23,86
2016-04-24,87
2016-04-25,87
2016-04-26,88
2016-04-27,88
2016-05-01,89
2016-05-02,89
2016-05-03,90
2016-05-04,90
2016-05-05,91
2016-05-06,91
2016-05-07,92
2016-05-08,92
2016-05-09,93
2016-05-10,93
2016-05-11,93
2016-05-12,94
2016-05-13,94
2016-05-14,95
2016-05-15,95
2016-05-16,96
2016-05-17,96
2016-05-18,97
2016-05-19,97
2016-05-20,98
2016-05-21,98
2016-05-22,99
2016-05-23,99
2016-05-24,100
2016-05-25,100
2016-05-26,100
2016-05-27,101
2016-06-01,101
2016-06-02,102
2016-06-03,102
2016-06-04,103
2016-06-05,103
2016-06-06,104
2016-06-07,104
2016-06-08,105
2016-06-09,105
2016-06-10,105
2016-06-11,106
2016-06-12,106
2016-06-13,107
2016-06-14,107
2016-06-15,108
2016-06-16,108
2016-06-17,109
2016-06-18,109
2016-06-19,110
2016-06-20,110
2016-06-21,110
2016-06-22,111
2016-06-23,111
2016-06-24,112
2016-06-25,112
2016-06-26,113
2016-06-27,113
2016-07-01,114
2016-07-02,114
2016-07-03,115
2016-07-04,115
2016-07-05,115
2016-07-06,116
2016-07-07,116
2016-07-08,117
2016-07-09,117
2016-07-10,118
2016-07-11,118
2016-07-12,119
2016-07-13,119
2016-07-14,119
2016-07-15,120
2016-07-16,120
2016-07-17,121
2016-07-18,121
2016-07-19,122
2016-07-20,122
2016-07-21,123
2016-07-22,123
2016-07-23,123
2016-07-24,124
2016-07-25,124
2016-07-26,125
2016-07-27,125
2016-08-01,126
2016-08-02,126
2016-08-03,126
2016-08-04,127
2016-08-05,127
2016-08-06,128
2016-08-07,128
2016-08-08,129
2016-08-09,129
2016-08-10,130
2016-08-11,130
2016-08-12,130
2016-08-13,131
2016-08-14,131
2016-08-15,132
2016-08-16,132
2016-08-17,133
2016-08-18,133
2016-08-19,133
2016-08-20,134
2016-08-21,134
2016-08-22,135
2016-08-23,135
2016-08-24,136
2016-08-25,136
2016-08-26,137
2016-08-27,137
2016-09-01,137
2016-09-02,138
2016-09-03,138
2016-09-04,139
2016-09-05,139
2016-09-06,140
2016-09-07,140
2016-09-08,140
2016-09-09,141
2016-09-10,141
2016-09-11,142
2016-09-12,142
2016-09-13,143
2016-09-14,143
2016-09-15,143
2016-09-16,144
2016-09-17,144
2016-09-18,145
2016-09-19,145
2016-09-20,146
2016-09-21,146
2016-09-22,146
2016-09-23,147
2016-09-24,147
2016-09-25,148
2016-09-26,148
2016-09-27,149
2016-10-01,149
2016-10-02,149
2016-10-03,150
2016-10-04,263
2016-10-05,264
2016-10-06,265
