sep=,
Airport,SCEL
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,33
2016-01-05,34
2016-01-06,34
2016-01-07,35
2016-01-08,36
2016-01-09,37
2016-01-10,38
2016-01-11,39
2016-01-12,39
2016-01-13,40
2016-01-14,41
2016-01-15,42
2016-01-16,42
2016-01-17,43
2016-01-18,44
2016-01-19,45
2016-01-20,45
2016-01-21,46
2016-01-22,47
2016-01-23,48
2016-01-24,48
2016-01-25,49
2016-01-26,50
2016-01-27,51
2016-02-01,51
2016-02-02,52
2016-02-03,53
2016-02-04,54
2016-02-05,54
2016-02-06,55
2016-02-07,56
2016-02-08,57
2016-02-09,57
2016-02-10,58
2016-02-11,59
2016-02-12,59
2016-02-13,60
2016-02-14,61
2016-02-15,62
2016-02-16,62
2016-02-17,63
2016-02-18,64
2016-02-19,64
2016-02-20,65
2016-02-21,66
2016-02-22,67
2016-02-23,67
2016-02-24,68
2016-02-25,69
2016-02-26,69
2016-02-27,70
2016-03-01,71
2016-03-02,72
2016-03-03,72
2016-03-04,73
2016-03-05,74
2016-03-06,74
2016-03-07,75
2016-03-08,76
2016-03-09,76
2016-03-10,77
2016-03-11,78
2016-03-12,79
2016-03-13,79
2016-03-14,80
2016-03-15,81
2016-03-16,81
2016-03-17,82
2016-03-18,83
2016-03-19,83
2016-03-20,84
2016-03-21,85
2016-03-22,85
2016-03-23,86
2016-03-24,87
2016-03-25,87
2016-03-26,88
2016-03-27,89
2016-04-01,90
2016-04-02,90
2016-04-03,91
2016-04-04,92
2016-04-05,92
2016-04-06,93
2016-04-07,94
2016-04-08,94
2016-04-09,95
2016-04-10,96
2016-04-11,96
2016-04-12,97
2016-04-13,98
2016-04-14,98
2016-04-15,99
2016-04-16,100
2016-04-17,100
2016-04-18,101
2016-04-19,102
2016-04-20,102
2016-04-21,103
2016-04-22,104
2016-04-23,104
2016-04-24,105
2016-04-25,106
2016-04-26,106
2016-04-27,107
2016-05-01,108
2016-05-02,108
2016-05-03,109
2016-05-04,110
2016-05-05,110
2016-05-06,111
2016-05-07,112
2016-05-08,112
2016-05-09,113
2016-05-10,114
2016-05-11,114
2016-05-12,115
2016-05-13,116
2016-05-14,116
2016-05-15,117
2016-05-16,118
2016-05-17,118
2016-05-18,119
2016-05-19,120
2016-05-20,120
2016-05-21,121
2016-05-22,122
2016-05-23,122
2016-05-24,123
2016-05-25,124
2016-05-26,124
2016-05-27,125
2016-06-01,126
2016-06-02,126
2016-06-03,127
2016-06-04,128
2016-06-05,128
2016-06-06,129
2016-06-07,130
2016-06-08,130
2016-06-09,131
2016-06-10,132
2016-06-11,132
2016-06-12,133
2016-06-13,134
2016-06-14,134
2016-06-15,135
2016-06-16,136
2016-06-17,136
2016-06-18,137
2016-06-19,138
2016-06-20,138
2016-06-21,139
2016-06-22,140
2016-06-23,140
2016-06-24,141
2016-06-25,142
2016-06-26,142
2016-06-27,143
2016-07-01,143
2016-07-02,144
2016-07-03,145
2016-07-04,145
2016-07-05,146
2016-07-06,147
2016-07-07,147
2016-07-08,148
2016-07-09,149
2016-07-10,149
2016-07-11,150
2016-07-12,151
2016-07-13,151
2016-07-14,152
2016-07-15,153
2016-07-16,153
2016-07-17,154
2016-07-18,154
2016-07-19,155
2016-07-20,156
2016-07-21,156
2016-07-22,157
2016-07-23,158
2016-07-24,158
2016-07-25,159
2016-07-26,160
2016-07-27,160
2016-08-01,161
2016-08-02,162
2016-08-03,162
2016-08-04,163
2016-08-05,164
2016-08-06,164
2016-08-07,165
2016-08-08,165
2016-08-09,166
2016-08-10,167
2016-08-11,167
2016-08-12,168
2016-08-13,169
2016-08-14,169
2016-08-15,170
2016-08-16,171
2016-08-17,171
2016-08-18,172
2016-08-19,173
2016-08-20,173
2016-08-21,174
2016-08-22,174
2016-08-23,175
2016-08-24,176
2016-08-25,176
2016-08-26,177
2016-08-27,178
2016-09-01,178
2016-09-02,179
2016-09-03,180
2016-09-04,180
2016-09-05,181
2016-09-06,181
2016-09-07,182
2016-09-08,183
2016-09-09,183
2016-09-10,184
2016-09-11,185
2016-09-12,185
2016-09-13,186
2016-09-14,187
2016-09-15,187
2016-09-16,188
2016-09-17,188
2016-09-18,189
2016-09-19,190
2016-09-20,190
2016-09-21,191
2016-09-22,192
2016-09-23,192
2016-09-24,193
2016-09-25,194
2016-09-26,194
2016-09-27,195
2016-10-01,195
2016-10-02,196
2016-10-03,197
2016-10-04,188
2016-10-05,189
2016-10-06,190
