sep=,
Airport,SEQM
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,32
2016-01-05,33
2016-01-06,33
2016-01-07,34
2016-01-08,34
2016-01-09,35
2016-01-10,35
2016-01-11,36
2016-01-12,36
2016-01-13,37
2016-01-14,37
2016-01-15,38
2016-01-16,38
2016-01-17,38
2016-01-18,39
2016-01-19,39
2016-01-20,40
2016-01-21,40
2016-01-22,40
2016-01-23,41
2016-01-24,41
2016-01-25,42
2016-01-26,42
2016-01-27,42
2016-02-01,43
2016-02-02,43
2016-02-03,43
2016-02-04,44
2016-02-05,44
2016-02-06,44
2016-02-07,45
2016-02-08,45
2016-02-09,45
2016-02-10,46
2016-02-11,46
2016-02-12,46
2016-02-13,47
2016-02-14,47
2016-02-15,47
2016-02-16,48
2016-02-17,48
2016-02-18,48
2016-02-19,49
2016-02-20,49
2016-02-21,49
2016-02-22,50
2016-02-23,50
2016-02-24,50
2016-02-25,51
2016-02-26,51
2016-02-27,51
2016-03-01,52
2016-03-02,52
2016-03-03,52
2016-03-04,52
2016-03-05,53
2016-03-06,53
2016-03-07,53
2016-03-08,54
2016-03-09,54
2016-03-10,54
2016-03-11,55
2016-03-12,55
2016-03-13,55
2016-03-14,55
2016-03-15,56
2016-03-16,56
2016-03-17,56
2016-03-18,57
2016-03-19,57
2016-03-20,57
2016-03-21,57
2016-03-22,58
2016-03-23,58
2016-03-24,58
2016-03-25,59
2016-03-26,59
2016-03-27,59
2016-04-01,59
2016-04-02,60
2016-04-03,60
2016-04-04,60
2016-04-05,61
2016-04-06,61
2016-04-07,61
2016-04-08,61
2016-04-09,62
2016-04-10,62
2016-04-11,62
2016-04-12,63
2016-04-13,63
2016-04-14,63
2016-04-15,63
2016-04-16,64
2016-04-17,64
2016-04-18,64
2016-04-19,64
2016-04-20,65
2016-04-21,65
2016-04-22,65
2016-04-23,65
2016-04-24,66
2016-04-25,66
2016-04-26,66
2016-04-27,67
2016-05-01,67
2016-05-02,67
2016-05-03,67
2016-05-04,68
2016-05-05,68
2016-05-06,68
2016-05-07,68
2016-05-08,69
2016-05-09,69
2016-05-10,69
2016-05-11,69
2016-05-12,70
2016-05-13,70
2016-05-14,70
2016-05-15,70
2016-05-16,71
2016-05-17,71
2016-05-18,71
2016-05-19,71
2016-05-20,72
2016-05-21,72
2016-05-22,72
2016-05-23,72
2016-05-24,73
2016-05-25,73
2016-05-26,73
2016-05-27,73
2016-06-01,74
2016-06-02,74
2016-06-03,74
2016-06-04,74
2016-06-05,75
2016-06-06,75
2016-06-07,75
2016-06-08,75
2016-06-09,76
2016-06-10,76
2016-06-11,76
2016-06-12,76
2016-06-13,77
2016-06-14,77
2016-06-15,77
2016-06-16,77
2016-06-17,78
2016-06-18,78
2016-06-19,78
2016-06-20,78
2016-06-21,79
2016-06-22,79
2016-06-23,79
2016-06-24,79
2016-06-25,80
2016-06-26,80
2016-06-27,80
2016-07-01,80
2016-07-02,81
2016-07-03,81
2016-07-04,81
2016-07-05,81
2016-07-06,81
2016-07-07,82
2016-07-08,82
2016-07-09,82
2016-07-10,82
2016-07-11,83
2016-07-12,83
2016-07-13,83
2016-07-14,83
2016-07-15,84
2016-07-16,84
2016-07-17,84
2016-07-18,84
2016-07-19,85
2016-07-20,85
2016-07-21,85
2016-07-22,85
2016-07-23,85
2016-07-24,86
2016-07-25,86
2016-07-26,86
2016-07-27,86
2016-08-01,87
2016-08-02,87
2016-08-03,87
2016-08-04,87
2016-08-05,88
2016-08-06,88
2016-08-07,88
2016-08-08,88
2016-08-09,88
2016-08-10,89
2016-08-11,89
2016-08-12,89
2016-08-13,89
2016-08-14,90
2016-08-15,90
2016-08-16,90
2016-08-17,90
2016-08-18,90
2016-08-19,91
2016-08-20,91
2016-08-21,91
2016-08-22,91
2016-08-23,92
2016-08-24,92
2016-08-25,92
2016-08-26,92
2016-08-27,93
2016-09-01,93
2016-09-02,93
2016-09-03,93
2016-09-04,93
2016-09-05,94
2016-09-06,94
2016-09-07,94
2016-09-08,94
2016-09-09,95
2016-09-10,95
2016-09-11,95
2016-09-12,95
2016-09-13,95
2016-09-14,96
2016-09-15,96
2016-09-16,96
2016-09-17,96
2016-09-18,97
2016-09-19,97
2016-09-20,97
2016-09-21,97
2016-09-22,97
2016-09-23,98
2016-09-24,98
2016-09-25,98
2016-09-26,98
2016-09-27,98
2016-10-01,99
2016-10-02,99
2016-10-03,99
2016-10-04,83
2016-10-05,83
2016-10-06,83
