sep=,
Airport,SGAS
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,32
2016-01-05,33
2016-01-06,33
2016-01-07,34
2016-01-08,34
2016-01-09,35
2016-01-10,35
2016-01-11,36
2016-01-12,36
2016-01-13,37
2016-01-14,37
2016-01-15,37
2016-01-16,38
2016-01-17,38
2016-01-18,39
2016-01-19,39
2016-01-20,39
2016-01-21,40
2016-01-22,40
2016-01-23,40
2016-01-24,41
2016-01-25,41
2016-01-26,42
2016-01-27,42
2016-02-01,42
2016-02-02,43
2016-02-03,43
2016-02-04,43
2016-02-05,44
2016-02-06,44
2016-02-07,44
2016-02-08,45
2016-02-09,45
2016-02-10,45
2016-02-11,46
2016-02-12,46
2016-02-13,46
2016-02-14,47
2016-02-15,47
2016-02-16,47
2016-02-17,47
2016-02-18,48
2016-02-19,48
2016-02-20,48
2016-02-21,49
2016-02-22,49
2016-02-23,49
2016-02-24,50
2016-02-25,50
2016-02-26,50
2016-02-27,50
2016-03-01,51
2016-03-02,51
2016-03-03,51
2016-03-04,52
2016-03-05,52
2016-03-06,52
2016-03-07,52
2016-03-08,53
2016-03-09,53
2016-03-10,53
2016-03-11,54
2016-03-12,54
2016-03-13,54
2016-03-14,54
2016-03-15,55
2016-03-16,55
2016-03-17,55
2016-03-18,56
2016-03-19,56
2016-03-20,56
2016-03-21,56
2016-03-22,57
2016-03-23,57
2016-03-24,57
2016-03-25,57
2016-03-26,58
2016-03-27,58
2016-04-01,58
2016-04-02,58
2016-04-03,59
2016-04-04,59
2016-04-05,59
2016-04-06,60
2016-04-07,60
2016-04-08,60
2016-04-09,60
2016-04-10,61
2016-04-11,61
2016-04-12,61
2016-04-13,61
2016-04-14,62
2016-04-15,62
2016-04-16,62
2016-04-17,62
2016-04-18,63
2016-04-19,63
2016-04-20,63
2016-04-21,63
2016-04-22,64
2016-04-23,64
2016-04-24,64
2016-04-25,64
2016-04-26,65
2016-04-27,65
2016-05-01,65
2016-05-02,65
2016-05-03,66
2016-05-04,66
2016-05-05,66
2016-05-06,66
2016-05-07,67
2016-05-08,67
2016-05-09,67
2016-05-10,67
2016-05-11,68
2016-05-12,68
2016-05-13,68
2016-05-14,68
2016-05-15,69
2016-05-16,69
2016-05-17,69
2016-05-18,69
2016-05-19,69
2016-05-20,70
2016-05-21,70
2016-05-22,70
2016-05-23,70
2016-05-24,71
2016-05-25,71
2016-05-26,71
2016-05-27,71
2016-06-01,72
2016-06-02,72
2016-06-03,72
2016-06-04,72
2016-06-05,73
2016-06-06,73
2016-06-07,73
2016-06-08,73
2016-06-09,73
2016-06-10,74
2016-06-11,74
2016-06-12,74
2016-06-13,74
2016-06-14,75
2016-06-15,75
2016-06-16,75
2016-06-17,75
2016-06-18,76
2016-06-19,76
2016-06-20,76
2016-06-21,76
2016-06-22,76
2016-06-23,77
2016-06-24,77
2016-06-25,77
2016-06-26,77
2016-06-27,78
2016-07-01,78
2016-07-02,78
2016-07-03,78
2016-07-04,78
2016-07-05,79
2016-07-06,79
2016-07-07,79
2016-07-08,79
2016-07-09,80
2016-07-10,80
2016-07-11,80
2016-07-12,80
2016-07-13,80
2016-07-14,81
2016-07-15,81
2016-07-16,81
2016-07-17,81
2016-07-18,82
2016-07-19,82
2016-07-20,82
2016-07-21,82
2016-07-22,82
2016-07-23,83
2016-07-24,83
2016-07-25,83
2016-07-26,83
2016-07-27,84
2016-08-01,84
2016-08-02,84
2016-08-03,84
2016-08-04,84
2016-08-05,85
2016-08-06,85
2016-08-07,85
2016-08-08,85
2016-08-09,85
2016-08-10,86
2016-08-11,86
2016-08-12,86
2016-08-13,86
2016-08-14,87
2016-08-15,87
2016-08-16,87
2016-08-17,87
2016-08-18,87
2016-08-19,88
2016-08-20,88
2016-08-21,88
2016-08-22,88
2016-08-23,88
2016-08-24,89
2016-08-25,89
2016-08-26,89
2016-08-27,89
2016-09-01,89
2016-09-02,90
2016-09-03,90
2016-09-04,90
2016-09-05,90
2016-09-06,90
2016-09-07,91
2016-09-08,91
2016-09-09,91
2016-09-10,91
2016-09-11,92
2016-09-12,92
2016-09-13,92
2016-09-14,92
2016-09-15,92
2016-09-16,93
2016-09-17,93
2016-09-18,93
2016-09-19,93
2016-09-20,93
2016-09-21,94
2016-09-22,94
2016-09-23,94
2016-09-24,94
2016-09-25,94
2016-09-26,95
2016-09-27,95
2016-10-01,95
2016-10-02,95
2016-10-03,95
2016-10-04,276
2016-10-05,277
2016-10-06,278
