sep=,
Airport,SUAA
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,33
2016-01-05,34
2016-01-06,35
2016-01-07,36
2016-01-08,36
2016-01-09,37
2016-01-10,38
2016-01-11,39
2016-01-12,40
2016-01-13,41
2016-01-14,42
2016-01-15,43
2016-01-16,43
2016-01-17,44
2016-01-18,45
2016-01-19,46
2016-01-20,47
2016-01-21,48
2016-01-22,49
2016-01-23,49
2016-01-24,50
2016-01-25,51
2016-01-26,52
2016-01-27,53
2016-02-01,54
2016-02-02,55
2016-02-03,55
2016-02-04,56
2016-02-05,57
2016-02-06,58
2016-02-07,59
2016-02-08,60
2016-02-09,60
2016-02-10,61
2016-02-11,62
2016-02-12,63
2016-02-13,64
2016-02-14,65
2016-02-15,65
2016-02-16,66
2016-02-17,67
2016-02-18,68
2016-02-19,69
2016-02-20,69
2016-02-21,70
2016-02-22,71
2016-02-23,72
2016-02-24,73
2016-02-25,74
2016-02-26,74
2016-02-27,75
2016-03-01,76
2016-03-02,77
2016-03-03,78
2016-03-04,78
2016-03-05,79
2016-03-06,80
2016-03-07,81
2016-03-08,82
2016-03-09,83
2016-03-10,83
2016-03-11,84
2016-03-12,85
2016-03-13,86
2016-03-14,87
2016-03-15,87
2016-03-16,88
2016-03-17,89
2016-03-18,90
2016-03-19,91
2016-03-20,91
2016-03-21,92
2016-03-22,93
2016-03-23,94
2016-03-24,95
2016-03-25,96
2016-03-26,96
2016-03-27,97
2016-04-01,98
2016-04-02,99
2016-04-03,100
2016-04-04,100
2016-04-05,101
2016-04-06,102
2016-04-07,103
2016-04-08,104
2016-04-09,104
2016-04-10,105
2016-04-11,106
2016-04-12,107
2016-04-13,108
2016-04-14,108
2016-04-15,109
2016-04-16,110
2016-04-17,111
2016-04-18,112
2016-04-19,112
2016-04-20,113
2016-04-21,114
2016-04-22,115
2016-04-23,116
2016-04-24,116
2016-04-25,117
2016-04-26,118
2016-04-27,119
2016-05-01,120
2016-05-02,120
2016-05-03,121
2016-05-04,122
2016-05-05,123
2016-05-06,124
2016-05-07,124
2016-05-08,125
2016-05-09,126
2016-05-10,127
2016-05-11,128
2016-05-12,128
2016-05-13,129
2016-05-14,130
2016-05-15,131
2016-05-16,131
2016-05-17,132
2016-05-18,133
2016-05-19,134
2016-05-20,135
2016-05-21,135
2016-05-22,136
2016-05-23,137
2016-05-24,138
2016-05-25,139
2016-05-26,139
2016-05-27,140
2016-06-01,141
2016-06-02,142
2016-06-03,143
2016-06-04,143
2016-06-05,144
2016-06-06,145
2016-06-07,146
2016-06-08,146
2016-06-09,147
2016-06-10,148
2016-06-11,149
2016-06-12,150
2016-06-13,150
2016-06-14,151
2016-06-15,152
2016-06-16,153
2016-06-17,154
2016-06-18,154
2016-06-19,155
2016-06-20,156
2016-06-21,157
2016-06-22,157
2016-06-23,158
2016-06-24,159
2016-06-25,160
2016-06-26,161
2016-06-27,161
2016-07-01,162
2016-07-02,163
2016-07-03,164
2016-07-04,165
2016-07-05,165
2016-07-06,166
2016-07-07,167
2016-07-08,168
2016-07-09,168
2016-07-10,169
2016-07-11,170
2016-07-12,171
2016-07-13,172
2016-07-14,172
2016-07-15,173
2016-07-16,174
2016-07-17,175
2016-07-18,175
2016-07-19,176
2016-07-20,177
2016-07-21,178
2016-07-22,179
2016-07-23,179
2016-07-24,180
2016-07-25,181
2016-07-26,182
2016-07-27,182
2016-08-01,183
2016-08-02,184
2016-08-03,185
2016-08-04,186
2016-08-05,186
2016-08-06,187
2016-08-07,188
2016-08-08,189
2016-08-09,189
2016-08-10,190
2016-08-11,191
2016-08-12,192
2016-08-13,193
2016-08-14,193
2016-08-15,194
2016-08-16,195
2016-08-17,196
2016-08-18,196
2016-08-19,197
2016-08-20,198
2016-08-21,199
2016-08-22,200
2016-08-23,200
2016-08-24,201
2016-08-25,202
2016-08-26,203
2016-08-27,203
2016-09-01,204
2016-09-02,205
2016-09-03,206
2016-09-04,207
2016-09-05,207
2016-09-06,208
2016-09-07,209
2016-09-08,210
2016-09-09,210
2016-09-10,211
2016-09-11,212
2016-09-12,213
2016-09-13,213
2016-09-14,214
2016-09-15,215
2016-09-16,216
2016-09-17,217
2016-09-18,217
2016-09-19,218
2016-09-20,219
2016-09-21,220
2016-09-22,220
2016-09-23,221
2016-09-24,222
2016-09-25,223
2016-09-26,224
2016-09-27,224
2016-10-01,225
2016-10-02,226
2016-10-03,227
2016-10-04,207
2016-10-05,207
2016-10-06,208
