sep=,
Airport,SVMI
Date,Count
2016-01-02,31
2016-01-03,32
2016-01-04,32
2016-01-05,33
2016-01-06,33
2016-01-07,34
2016-01-08,34
2016-01-09,34
2016-01-10,35
2016-01-11,35
2016-01-12,36
2016-01-13,36
2016-01-14,36
2016-01-15,37
2016-01-16,37
2016-01-17,37
2016-01-18,38
2016-01-19,38
2016-01-20,38
2016-01-21,39
2016-01-22,39
2016-01-23,39
2016-01-24,40
2016-01-25,40
2016-01-26,40
2016-01-27,40
2016-02-01,41
2016-02-02,41
2016-02-03,41
2016-02-04,42
2016-02-05,42
2016-02-06,42
2016-02-07,42
2016-02-08,43
2016-02-09,43
2016-02-10,43
2016-02-11,43
2016-02-12,44
2016-02-13,44
2016-02-14,44
2016-02-15,44
2016-02-16,45
2016-02-17,45
2016-02-18,45
2016-02-19,45
2016-02-20,46
2016-02-21,46
2016-02-22,46
2016-02-23,46
2016-02-24,47
2016-02-25,47
2016-02-26,47
2016-02-27,47
2016-03-01,48
2016-03-02,48
2016-03-03,48
2016-03-04,48
2016-03-05,49
2016-03-06,49
2016-03-07,49
2016-03-08,49
2016-03-09,50
2016-03-10,50
2016-03-11,50
2016-03-12,50
2016-03-13,50
2016-03-14,51
2016-03-15,51
2016-03-16,51
2016-03-17,51
2016-03-18,52
2016-03-19,52
2016-03-20,52
2016-03-21,52
2016-03-22,52
2016-03-23,53
2016-03-24,53
2016-03-25,53
2016-03-26,53
2016-03-27,53
2016-04-01,54
2016-04-02,54
2016-04-03,54
2016-04-04,54
2016-04-05,55
2016-04-06,55
2016-04-07,55
2016-04-08,55
2016-04-09,55
2016-04-10,56
2016-04-11,56
2016-04-12,56
2016-04-13,56
2016-04-14,56
2016-04-15,57
2016-04-16,57
2016-04-17,57
2016-04-18,57
2016-04-19,57
2016-04-20,58
2016-04-21,58
2016-04-22,58
2016-04-23,58
2016-04-24,58
2016-04-25,59
2016-04-26,59
2016-04-27,59
2016-05-01,59
2016-05-02,59
2016-05-03,59
2016-05-04,60
2016-05-05,60
2016-05-06,60
2016-05-07,60
2016-05-08,60
2016-05-09,61
2016-05-10,61
2016-05-11,61
2016-05-12,61
2016-05-13,61
2016-05-14,62
2016-05-15,62
2016-05-16,62
2016-05-17,62
2016-05-18,62
2016-05-19,63
2016-05-20,63
2016-05-21,63
2016-05-22,63
2016-05-23,63
2016-05-24,63
2016-05-25,64
2016-05-26,64
2016-05-27,64
2016-06-01,64
2016-06-02,64
2016-06-03,65
2016-06-04,65
2016-06-05,65
2016-06-06,65
2016-06-07,65
2016-06-08,65
2016-06-09,66
2016-06-10,66
2016-06-11,66
2016-06-12,66
2016-06-13,66
2016-06-14,67
2016-06-15,67
2016-06-16,67
2016-06-17,67
2016-06-18,67
2016-06-19,67
2016-06-20,68
2016-06-21,68
2016-06-22,68
2016-06-23,68
2016-06-24,68
2016-06-25,68
2016-06-26,69
2016-06-27,69
2016-07-01,69
2016-07-02,69
2016-07-03,69
2016-07-04,69
2016-07-05,70
2016-07-06,70
2016-07-07,70
2016-07-08,70
2016-07-09,70
2016-07-10,71
2016-07-11,71
2016-07-12,71
2016-07-13,71
2016-07-14,71
2016-07-15,71
2016-07-16,72
2016-07-17,72
2016-07-18,72
2016-07-19,72
2016-07-20,72
2016-07-21,72
2016-07-22,73
2016-07-23,73
2016-07-24,73
2016-07-25,73
2016-07-26,73
2016-07-27,73
2016-08-01,74
2016-08-02,74
2016-08-03,74
2016-08-04,74
2016-08-05,74
2016-08-06,74
2016-08-07,75
2016-08-08,75
2016-08-09,75
2016-08-10,75
2016-08-11,75
2016-08-12,75
2016-08-13,76
2016-08-14,76
2016-08-15,76
2016-08-16,76
2016-08-17,76
2016-08-18,76
2016-08-19,77
2016-08-20,77
2016-08-21,77
2016-08-22,77
2016-08-23,77
2016-08-24,77
2016-08-25,77
2016-08-26,78
2016-08-27,78
2016-09-01,78
2016-09-02,78
2016-09-03,78
2016-09-04,78
2016-09-05,79
2016-09-06,79
2016-09-07,79
2016-09-08,79
2016-09-09,79
2016-09-10,79
2016-09-11,80
2016-09-12,80
2016-09-13,80
2016-09-14,80
2016-09-15,80
2016-09-16,80
2016-09-17,80
2016-09-18,81
2016-09-19,81
2016-09-20,81
2016-09-21,81
2016-09-22,81
2016-09-23,81
2016-09-24,82
2016-09-25,82
2016-09-26,82
2016-09-27,82
2016-10-01,82
2016-10-02,82
2016-10-03,83
2016-10-04,144
2016-10-05,144
2016-10-06,145
